Model,Dataset,Schedule,Round,Configs_Eliminated,Total_Configs,Elimination_Rate_%
FCNN,CBF,Aggressive,1,0,100,0.00
FCNN,CBF,Aggressive,2,90,100,90.00
FCNN,CBF,Aggressive,3,9,10,90.00
FCNN,CBF,Conservative,1,0,100,0.00
FCNN,CBF,Conservative,2,25,100,25.00
FCNN,CBF,Conservative,3,25,75,33.33
FCNN,CBF,Conservative,4,25,50,50.00
FCNN,CBF,Conservative,5,24,25,96.00
FCNN,CBF,VeryAggressive,1,0,100,0.00
FCNN,CBF,VeryAggressive,2,95,100,95.00
FCNN,CBF,VeryAggressive,3,4,5,80.00
FCNN,CBF,Standard,1,0,100,0.00
FCNN,CBF,Standard,2,50,100,50.00
FCNN,CBF,Standard,3,25,50,50.00
FCNN,CBF,Standard,4,13,25,52.00
FCNN,CBF,Standard,5,6,12,50.00
FCNN,CBF,Standard,6,3,6,50.00
FCNN,CBF,Standard,7,2,3,66.67
FCNN,Car,Moderate,1,0,100,0.00
FCNN,Car,Moderate,2,50,100,50.00
FCNN,Car,Moderate,3,40,50,80.00
FCNN,Car,Moderate,4,9,10,90.00
FCNN,Car,Aggressive,1,0,100,0.00
FCNN,Car,Aggressive,2,90,100,90.00
FCNN,Car,Aggressive,3,9,10,90.00
FCNN,Car,Conservative,1,0,100,0.00
FCNN,Car,Conservative,2,25,100,25.00
FCNN,Car,Conservative,3,25,75,33.33
FCNN,Car,Conservative,4,25,50,50.00
FCNN,Car,Conservative,5,24,25,96.00
FCNN,Car,VeryAggressive,1,0,100,0.00
FCNN,Car,VeryAggressive,2,95,100,95.00
FCNN,Car,VeryAggressive,3,4,5,80.00
FCNN,Car,Standard,1,0,100,0.00
FCNN,Car,Standard,2,50,100,50.00
FCNN,Car,Standard,3,25,50,50.00
FCNN,Car,Standard,4,13,25,52.00
FCNN,Car,Standard,5,6,12,50.00
FCNN,Car,Standard,6,3,6,50.00
FCNN,Car,Standard,7,2,3,66.67
FCNN,CatsDogs,Moderate,1,0,100,0.00
FCNN,CatsDogs,Moderate,2,50,100,50.00
FCNN,CatsDogs,Moderate,3,40,50,80.00
FCNN,CatsDogs,Moderate,4,9,10,90.00
FCNN,CatsDogs,Aggressive,1,0,100,0.00
FCNN,CatsDogs,Aggressive,2,90,100,90.00
FCNN,CatsDogs,Aggressive,3,9,10,90.00
FCNN,CatsDogs,Conservative,1,0,100,0.00
FCNN,CatsDogs,Conservative,2,25,100,25.00
FCNN,CatsDogs,Conservative,3,25,75,33.33
FCNN,CatsDogs,Conservative,4,25,50,50.00
FCNN,CatsDogs,Conservative,5,24,25,96.00
FCNN,CatsDogs,VeryAggressive,1,0,100,0.00
FCNN,CatsDogs,VeryAggressive,2,95,100,95.00
FCNN,CatsDogs,VeryAggressive,3,4,5,80.00
FCNN,CatsDogs,Standard,1,0,100,0.00
FCNN,CatsDogs,Standard,2,50,100,50.00
FCNN,CatsDogs,Standard,3,25,50,50.00
FCNN,CatsDogs,Standard,4,13,25,52.00
FCNN,CatsDogs,Standard,5,6,12,50.00
FCNN,CatsDogs,Standard,6,3,6,50.00
FCNN,CatsDogs,Standard,7,2,3,66.67
FCNN,ChlorineConcentration,Moderate,1,0,100,0.00
FCNN,ChlorineConcentration,Moderate,2,50,100,50.00
FCNN,ChlorineConcentration,Moderate,3,40,50,80.00
FCNN,ChlorineConcentration,Moderate,4,9,10,90.00
FCNN,ChlorineConcentration,Aggressive,1,0,100,0.00
FCNN,ChlorineConcentration,Aggressive,2,90,100,90.00
FCNN,ChlorineConcentration,Aggressive,3,9,10,90.00
FCNN,ChlorineConcentration,Conservative,1,0,100,0.00
FCNN,ChlorineConcentration,Conservative,2,25,100,25.00
FCNN,ChlorineConcentration,Conservative,3,25,75,33.33
FCNN,ChlorineConcentration,Conservative,4,25,50,50.00
FCNN,ChlorineConcentration,Conservative,5,24,25,96.00
FCNN,ChlorineConcentration,VeryAggressive,1,0,100,0.00
FCNN,ChlorineConcentration,VeryAggressive,2,95,100,95.00
FCNN,ChlorineConcentration,VeryAggressive,3,4,5,80.00
FCNN,ChlorineConcentration,Standard,1,0,100,0.00
FCNN,ChlorineConcentration,Standard,2,50,100,50.00
FCNN,ChlorineConcentration,Standard,3,25,50,50.00
FCNN,ChlorineConcentration,Standard,4,13,25,52.00
FCNN,ChlorineConcentration,Standard,5,6,12,50.00
FCNN,ChlorineConcentration,Standard,6,3,6,50.00
FCNN,ChlorineConcentration,Standard,7,2,3,66.67
FCNN,CinCECGTorso,Moderate,1,0,100,0.00
FCNN,CinCECGTorso,Moderate,2,50,100,50.00
FCNN,CinCECGTorso,Moderate,3,40,50,80.00
FCNN,CinCECGTorso,Moderate,4,9,10,90.00
FCNN,CinCECGTorso,Aggressive,1,0,100,0.00
FCNN,CinCECGTorso,Aggressive,2,90,100,90.00
FCNN,CinCECGTorso,Aggressive,3,9,10,90.00
FCNN,CinCECGTorso,Conservative,1,0,100,0.00
FCNN,CinCECGTorso,Conservative,2,25,100,25.00
FCNN,CinCECGTorso,Conservative,3,25,75,33.33
FCNN,CinCECGTorso,Conservative,4,25,50,50.00
FCNN,CinCECGTorso,Conservative,5,24,25,96.00
FCNN,CinCECGTorso,VeryAggressive,1,0,100,0.00
FCNN,CinCECGTorso,VeryAggressive,2,95,100,95.00
FCNN,CinCECGTorso,VeryAggressive,3,4,5,80.00
FCNN,CinCECGTorso,Standard,1,0,100,0.00
FCNN,CinCECGTorso,Standard,2,50,100,50.00
FCNN,CinCECGTorso,Standard,3,25,50,50.00
FCNN,CinCECGTorso,Standard,4,13,25,52.00
FCNN,CinCECGTorso,Standard,5,6,12,50.00
FCNN,CinCECGTorso,Standard,6,3,6,50.00
FCNN,CinCECGTorso,Standard,7,2,3,66.67
FCNN,CounterMovementJump,Moderate,1,0,100,0.00
FCNN,CounterMovementJump,Moderate,2,50,100,50.00
FCNN,CounterMovementJump,Moderate,3,40,50,80.00
FCNN,CounterMovementJump,Moderate,4,9,10,90.00
FCNN,CounterMovementJump,Aggressive,1,0,100,0.00
FCNN,CounterMovementJump,Aggressive,2,90,100,90.00
FCNN,CounterMovementJump,Aggressive,3,9,10,90.00
FCNN,CounterMovementJump,Conservative,1,0,100,0.00
FCNN,CounterMovementJump,Conservative,2,25,100,25.00
FCNN,CounterMovementJump,Conservative,3,25,75,33.33
FCNN,CounterMovementJump,Conservative,4,25,50,50.00
FCNN,CounterMovementJump,Conservative,5,24,25,96.00
FCNN,CounterMovementJump,VeryAggressive,1,0,100,0.00
FCNN,CounterMovementJump,VeryAggressive,2,95,100,95.00
FCNN,CounterMovementJump,VeryAggressive,3,4,5,80.00
FCNN,CounterMovementJump,Standard,1,0,100,0.00
FCNN,CounterMovementJump,Standard,2,50,100,50.00
FCNN,CounterMovementJump,Standard,3,25,50,50.00
FCNN,CounterMovementJump,Standard,4,13,25,52.00
FCNN,CounterMovementJump,Standard,5,6,12,50.00
FCNN,CounterMovementJump,Standard,6,3,6,50.00
FCNN,CounterMovementJump,Standard,7,2,3,66.67
FCNN,DucksAndGeese,Moderate,1,0,100,0.00
FCNN,DucksAndGeese,Moderate,2,50,100,50.00
FCNN,DucksAndGeese,Moderate,3,40,50,80.00
FCNN,DucksAndGeese,Moderate,4,9,10,90.00
FCNN,DucksAndGeese,Aggressive,1,0,100,0.00
FCNN,DucksAndGeese,Aggressive,2,90,100,90.00
FCNN,DucksAndGeese,Aggressive,3,9,10,90.00
FCNN,DucksAndGeese,Conservative,1,0,100,0.00
FCNN,DucksAndGeese,Conservative,2,25,100,25.00
FCNN,DucksAndGeese,Conservative,3,25,75,33.33
FCNN,DucksAndGeese,Conservative,4,25,50,50.00
FCNN,DucksAndGeese,Conservative,5,24,25,96.00
FCNN,DucksAndGeese,VeryAggressive,1,0,100,0.00
FCNN,DucksAndGeese,VeryAggressive,2,95,100,95.00
FCNN,DucksAndGeese,VeryAggressive,3,4,5,80.00
FCNN,DucksAndGeese,Standard,1,0,100,0.00
FCNN,DucksAndGeese,Standard,2,50,100,50.00
FCNN,DucksAndGeese,Standard,3,25,50,50.00
FCNN,DucksAndGeese,Standard,4,13,25,52.00
FCNN,DucksAndGeese,Standard,5,6,12,50.00
FCNN,DucksAndGeese,Standard,6,3,6,50.00
FCNN,DucksAndGeese,Standard,7,2,3,66.67
FCNN,EigenWorms,Moderate,1,0,100,0.00
FCNN,EigenWorms,Moderate,2,50,100,50.00
FCNN,EigenWorms,Moderate,3,40,50,80.00
FCNN,EigenWorms,Moderate,4,9,10,90.00
FCNN,EigenWorms,Aggressive,1,0,100,0.00
FCNN,EigenWorms,Aggressive,2,90,100,90.00
FCNN,EigenWorms,Aggressive,3,9,10,90.00
FCNN,EigenWorms,Conservative,1,0,100,0.00
FCNN,EigenWorms,Conservative,2,25,100,25.00
FCNN,EigenWorms,Conservative,3,25,75,33.33
