Model,Dataset,Schedule,Round,Configs_Eliminated,Total_Configs,Elimination_Rate_%
CNN,Adiac,Conservative,5,24,25,96.00
CNN,Adiac,VeryAggressive,1,0,100,0.00
CNN,Adiac,VeryAggressive,2,95,100,95.00
CNN,Adiac,VeryAggressive,3,4,5,80.00
CNN,Adiac,Standard,1,0,100,0.00
CNN,Adiac,Standard,2,50,100,50.00
CNN,Adiac,Standard,3,25,50,50.00
CNN,Adiac,Standard,4,13,25,52.00
CNN,Adiac,Standard,5,6,12,50.00
CNN,Adiac,Standard,6,3,6,50.00
CNN,Adiac,Standard,7,2,3,66.67
CNN,ArrowHead,Moderate,1,0,100,0.00
CNN,ArrowHead,Moderate,2,50,100,50.00
CNN,ArrowHead,Moderate,3,40,50,80.00
CNN,ArrowHead,Moderate,4,9,10,90.00
CNN,ArrowHead,Aggressive,1,0,100,0.00
CNN,ArrowHead,Aggressive,2,90,100,90.00
CNN,ArrowHead,Aggressive,3,9,10,90.00
CNN,ArrowHead,Conservative,1,0,100,0.00
CNN,ArrowHead,Conservative,2,25,100,25.00
CNN,ArrowHead,Conservative,3,25,75,33.33
CNN,ArrowHead,Conservative,4,25,50,50.00
CNN,ArrowHead,Conservative,5,24,25,96.00
CNN,ArrowHead,VeryAggressive,1,0,100,0.00
CNN,ArrowHead,VeryAggressive,2,95,100,95.00
CNN,ArrowHead,VeryAggressive,3,4,5,80.00
CNN,ArrowHead,Standard,1,0,100,0.00
CNN,ArrowHead,Standard,2,50,100,50.00
CNN,ArrowHead,Standard,3,25,50,50.00
CNN,ArrowHead,Standard,4,13,25,52.00
CNN,ArrowHead,Standard,5,6,12,50.00
CNN,ArrowHead,Standard,6,3,6,50.00
CNN,ArrowHead,Standard,7,2,3,66.67
CNN,Beef,Moderate,1,0,100,0.00
CNN,Beef,Moderate,2,50,100,50.00
CNN,Beef,Moderate,3,40,50,80.00
CNN,Beef,Moderate,4,9,10,90.00
CNN,Beef,Aggressive,1,0,100,0.00
CNN,Beef,Aggressive,2,90,100,90.00
CNN,Beef,Aggressive,3,9,10,90.00
CNN,Beef,Conservative,1,0,100,0.00
CNN,Beef,Conservative,2,25,100,25.00
CNN,Beef,Conservative,3,25,75,33.33
CNN,Beef,Conservative,4,25,50,50.00
CNN,Beef,Conservative,5,24,25,96.00
CNN,Beef,VeryAggressive,1,0,100,0.00
CNN,Beef,VeryAggressive,2,95,100,95.00
CNN,Beef,VeryAggressive,3,4,5,80.00
CNN,Beef,Standard,1,0,100,0.00
CNN,Beef,Standard,2,50,100,50.00
CNN,Beef,Standard,3,25,50,50.00
CNN,Beef,Standard,4,13,25,52.00
CNN,Beef,Standard,5,6,12,50.00
CNN,Beef,Standard,6,3,6,50.00
CNN,Beef,Standard,7,2,3,66.67
CNN,BeetleFly,Moderate,1,0,100,0.00
CNN,BeetleFly,Moderate,2,50,100,50.00
CNN,BeetleFly,Moderate,3,40,50,80.00
CNN,BeetleFly,Moderate,4,9,10,90.00
CNN,BeetleFly,Aggressive,1,0,100,0.00
CNN,BeetleFly,Aggressive,2,90,100,90.00
CNN,BeetleFly,Aggressive,3,9,10,90.00
CNN,BeetleFly,Conservative,1,0,100,0.00
CNN,BeetleFly,Conservative,2,25,100,25.00
CNN,BeetleFly,Conservative,3,25,75,33.33
CNN,BeetleFly,Conservative,4,25,50,50.00
CNN,BeetleFly,Conservative,5,24,25,96.00
CNN,BeetleFly,VeryAggressive,1,0,100,0.00
CNN,BeetleFly,VeryAggressive,2,95,100,95.00
CNN,BeetleFly,VeryAggressive,3,4,5,80.00
CNN,BeetleFly,Standard,1,0,100,0.00
CNN,BeetleFly,Standard,2,50,100,50.00
CNN,BeetleFly,Standard,3,25,50,50.00
CNN,BeetleFly,Standard,4,13,25,52.00
CNN,BeetleFly,Standard,5,6,12,50.00
CNN,BeetleFly,Standard,6,3,6,50.00
CNN,BeetleFly,Standard,7,2,3,66.67
