activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.1318310905937,536,232,1.54211158e-05,4,1,max,classification_ozone,0.5032257926464081,0.505806438922882,0.5122580528259277,0.5083870828151703,0.5019354701042176,0.5019354689121247,0.503225793838501,0.5045161163806916,0.5045161151885986,0.5045161163806915,0.5006451475620269,0.5019354701042176,0.4941935348510742,0.4941935348510743,0.4941935348510742,0.4954838573932648,0.4941935324668884,0.4954838562011718,0.4967741799354552,0.4929032111167907
relu,0.2795328004384,935,228,3.04991345e-05,3,2,mean,classification_ozone,0.4993548250198364,0.4799999845027923,0.4851612758636475,0.4929032111167908,0.486451598405838,0.5032257890701294,0.4916128849983215,0.4954838538169861,0.5032257902622223,0.4941935312747955,0.4916128838062286,0.4877419161796569,0.4774193358421326,0.4838709509372711,0.4761290156841277,0.4722580480575562,0.4658064341545105,0.4722580468654633,0.4709677243232727,0.4632257914543152
relu,0.1326316205453,882,107,0.0002424380349,8,6,mean,classification_ozone,0.4916128838062287,0.5045161068439483,0.5019354629516602,0.4993548178672791,0.486451598405838,0.5032257890701294,0.4967741763591767,0.4864515960216522,0.4787096571922302,0.4735483717918396,0.4774193370342255,0.4838709485530853,0.4748386919498443,0.4890322411060332,0.4864515948295593,0.4825806307792663,0.4761290180683136,0.4645161151885986,0.4645161151885986,0.4658064353466034
relu,0.1113745189763,390,215,0.0008122949846,8,6,mean,classification_ozone,0.5045161139965056,0.4890322422981262,0.4877419173717499,0.478709659576416,0.4993548226356507,0.5187096571922302,0.48129030585289,0.4709677255153656,0.4929032087326049,0.5019354653358459,0.4929032123088836,0.4890322387218475,0.4709677231311798,0.4683870792388916,0.4748386907577515,0.4580645024776458,0.4658064365386963,0.4632257902622223,0.4774193394184112,0.4799999833106995
gelu,0.0182399996809,960,190,0.0001440589508,2,1,mean,classification_ozone,0.4787096631526947,0.469677402973175,0.5045161092281342,0.5122580444812774,0.4864515972137451,0.4890322434902192,0.4890322434902191,0.4916128885746001,0.4851612722873688,0.4748386919498443,0.4799999821186065,0.4864515936374664,0.4903225612640381,0.4877419173717499,0.4954838478565216,0.483870950937271,0.4709677243232727,0.4567741763591765,0.4722580480575562,0.4696774017810822
gelu,0.2419955255226,741,239,2.61492895e-05,3,3,mean,classification_ozone,0.4864515972137451,0.4941935336589813,0.4838709485530853,0.4980644941329956,0.50838707447052,0.5045161068439483,0.4941935276985168,0.4954838526248932,0.4890322399139404,0.4916128861904144,0.4735483717918395,0.4799999845027923,0.4799999833106995,0.4812903022766114,0.4825806260108948,0.4787096595764161,0.4696774017810822,0.4761290156841278,0.4683870816230774,0.4761290156841278
relu,0.0539408658528,717,245,0.0001021011418,3,2,mean,classification_ozone,0.4967741799354553,0.5019354665279389,0.5058064305782318,0.5006451416015626,0.4929032039642334,0.4967741727828979,0.4967741751670838,0.4877419197559357,0.4941935288906097,0.4838709473609924,0.4799999821186065,0.4799999821186065,0.4799999809265136,0.4825806283950806,0.4929032063484191,0.4864515960216522,0.4929032087326049,0.469677402973175,0.4593548238277435,0.4529032099246978
gelu,0.1661202749476,1010,226,2.26838569e-05,8,2,mean,classification_ozone,0.4877419221401214,0.4761290180683136,0.4748386943340302,0.4890322422981262,0.4903225660324096,0.4954838562011719,0.5006451439857483,0.5083870792388916,0.5006451451778411,0.4993548214435577,0.4941935348510742,0.4890322434902191,0.4658064353466034,0.4670967578887939,0.4645161128044129,0.4567741787433624,0.4645161139965058,0.46451611161232,0.4580644989013672,0.467096756696701
gelu,0.1060094395204,506,206,0.0003134003694,3,3,mean,classification_ozone,0.5019354665279389,0.4941935312747955,0.5032257878780365,0.4941935300827026,0.469677402973175,0.4722580468654632,0.5006451463699342,0.5058064353466034,0.5019354677200317,0.5083870780467986,0.490322562456131,0.4774193382263183,0.4864515900611877,0.4580644989013672,0.4696774053573608,0.469677404165268,0.4851612710952759,0.4825806248188019,0.4799999797344208,0.4645161128044128
relu,0.2536230962156,843,118,0.000198638933,8,5,mean,classification_ozone,0.4787096583843231,0.4941935288906097,0.5032257866859435,0.5019354665279389,0.5161290109157562,0.4825806260108948,0.4890322411060334,0.4722580480575561,0.4812903034687043,0.4787096583843231,0.4954838526248932,0.4864515972137451,0.4825806295871734,0.4761290109157562,0.4696774017810822,0.4799999845027923,0.4709677255153656,0.4606451451778411,0.4722580480575561,0.4683870792388916
