activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0220773980159,7,0.0001267295802,67,3,max,2,RightWhaleCalls,0.5050000000000001,0.5,0.4997758173942566,0.5000955522060394,0.5000330770015717,0.5001194417476654,0.50026460647583,0.5008875441551208,0.5011686873435974,0.5018540978431701,0.5033186304569244,0.5030264580249786,0.4998088920116424,0.500110250711441,0.5003932392597199,0.5020856308937073,0.5014498364925384,0.5008397662639618,0.5115986812114715,0.5145902192592621
tanh,0.2273539345273,9,4.24669333e-05,96,4,average,2,RightWhaleCalls,0.5037499999999999,0.4999889743328095,0.4999816238880157,0.5007129716873169,0.5002223443984986,0.5004759275913238,0.4978463792800903,0.5014020550251007,0.4973667788505554,0.4984380686283111,0.4977159130573273,0.4989764750003814,0.5000146985054016,0.4971683192253112,0.4912072765827179,0.4970029401779176,0.4968834972381592,0.5033921277523041,0.5057497239112854,0.5115894949436187
elu,0.4995202576621,4,2.56392017e-05,113,2,max,2,RightWhaleCalls,0.519375,0.4979235577583313,0.5024807059764862,0.5020139646530152,0.5017456793785096,0.5020911407470703,0.5036034536361694,0.4995663332939147,0.5034086763858795,0.5030319738388063,0.5028665912151337,0.503065048456192,0.4982451319694519,0.4977783918380737,0.4960786497592925,0.5011484742164611,0.5043035614490509,0.5008287358283996,0.500942667722702,0.4947390675544739
gelu,0.1867035658686,3,8.37923097e-05,46,3,max,1,RightWhaleCalls,0.50625,0.4999779486656188,0.5000918769836427,0.5001543545722962,0.5013855183124543,0.4986806309223174,0.5000220501422883,0.4999283337593079,0.4998511588573455,0.4979933834075927,0.5009739041328432,0.5022381460666656,0.4999485468864441,0.502232631444931,0.5024917340278625,0.5024770283699036,0.5027526605129242,0.5035667002201081,0.5027839016914368,0.5019625186920166
gelu,0.3719129270375,5,0.0004549480408,87,3,max,1,RightWhaleCalls,0.51,0.5,0.5,0.5,0.4999999988079072,0.5000735032558441,0.4998970961570739,0.5005990445613862,0.5016299140453339,0.5022399854660035,0.5007827973365784,0.5010033082962035,0.5011300945281982,0.501492097377777,0.5021095180511475,0.5030374836921692,0.5043586945533752,0.5058305764198303,0.5073355412483217,0.5094818103313445
tanh,0.0046595313917,5,0.0001052183697,88,4,max,2,RightWhaleCalls,0.505,0.4999816238880157,0.4999044466018676,0.4987375962734222,0.5001249551773072,0.5001396524906159,0.4995553088188171,0.500455710887909,0.500209482908249,0.4993109118938446,0.4967401635646819,0.4995314276218414,0.5012881314754487,0.5024255740642547,0.506718122959137,0.5124090397357941,0.5139636194705963,0.513981990814209,0.5162807834148407,0.5177140736579895
sigmoid,0.0869778333402,7,4.61452655e-05,34,3,average,1,RightWhaleCalls,0.47625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000422620773316,0.500600882768631,0.5013340675830841,0.4994138181209563,0.4991988241672516,0.5004134511947631,0.5006670343875885,0.50076993227005,0.5013469338417054
gelu,0.2941836664469,7,7.5979105e-05,87,4,max,2,RightWhaleCalls,0.50125,0.5,0.5,0.5,0.5,0.4999448728561401,0.5,0.5,0.5,0.5000147008895873,0.4991234838962555,0.5001212775707244,0.50094083070755,0.5007901489734649,0.4992980456352233,0.5018963575363159,0.501510467529297,0.4990573287010192,0.4999062812328338,0.500567809343338
tanh,0.2881476345836,8,0.000987375268,65,1,max,1,RightWhaleCalls,0.48125,0.5000091826915741,0.5004814374446869,0.5002113175392152,0.4999577355384826,0.4996857726573944,0.499796028137207,0.4998566663265228,0.4997115004062653,0.5022969496250151,0.5028041160106659,0.5022914373874665,0.5018853318691254,0.5050128650665283,0.507328188419342,0.5091106271743774,0.5100165367126465,0.5092833495140076,0.5067034220695495,0.5052425587177277
tanh,0.0968423076517,5,2.38317101e-05,27,3,max,2,RightWhaleCalls,0.501875,0.4999779474735259,0.4998768842220306,0.4990922439098358,0.5022050726413726,0.501262402534485,0.5018320429325104,0.5028812897205353,0.5019698643684387,0.4998235952854156,0.4989158380031586,0.5002609372138977,0.5023851490020752,0.5011742007732392,0.5003932368755339,0.5021591341495514,0.5027048873901367,0.5021775019168853,0.5019808876514436,0.5016740167140961
