Model,Dataset,Hybrid_Name,Budget_Strategy,Dropout_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Performance_Gap,Performance_Retention,Relative_Performance_Gap,Budget_Utilization,Early_Stopping,Completed_Rounds
CNN,AbnormalHeartbeat,Conservative_Linear,Conservative,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.013073,False,5
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_time_hours,10,0.800000,0.800000,0.000000,1.000000,0.000000,0.046042,False,5
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_time_hours,24,0.800000,0.800000,0.000000,1.000000,0.000000,0.019184,False,5
CNN,AbnormalHeartbeat,Conservative_Standard,Conservative,Standard,max_time_hours,72,0.800000,0.800000,0.000000,1.000000,0.000000,0.006395,False,5
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_epochs,1000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_epochs,5000,0.600000,0.600000,0.000000,1.000000,0.000000,0.775000,False,4
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_time_hours,10,0.600000,0.600000,0.000000,1.000000,0.000000,0.023402,False,4
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_time_hours,24,0.600000,0.600000,0.000000,1.000000,0.000000,0.009751,False,4
CNN,AbnormalHeartbeat,Conservative_Aggressive,Conservative,Aggressive,max_time_hours,72,0.600000,0.600000,0.000000,1.000000,0.000000,0.003250,False,4
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.131888,False,5
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.054953,False,5
CNN,AbnormalHeartbeat,Conservative_Gradual,Conservative,Gradual,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.018318,False,5
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_time_hours,10,0.200000,0.200000,0.000000,1.000000,0.000000,0.040645,False,4
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_time_hours,24,0.200000,0.200000,0.000000,1.000000,0.000000,0.016935,False,4
CNN,AbnormalHeartbeat,Conservative_TwoStage,Conservative,TwoStage,max_time_hours,72,0.200000,0.200000,0.000000,1.000000,0.000000,0.005645,False,4
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.087637,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.036515,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Linear,VeryAggressive,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.012172,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.066102,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.027542,False,3
