activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
tanh,0.43870914072,39,0.01492945994,1,0.007663351325,classification_ozone,0.5238095343112945,0.5333333492279053,0.504761916399002,0.4857142984867096,0.4666666805744171,0.4476190626621246,0.5142857313156128,0.4666666746139526,0.4571428656578064,0.4952381074428558,0.485714304447174,0.4476190507411957,0.4476190567016601,0.5238095402717591,0.4857142925262451,0.4761904895305633,0.504761916399002,0.4666666865348816,0.4666666805744171,0.4285714387893676
gelu,0.3338066448618,31,0.0061458145615,2,0.0067401774783,classification_ozone,0.4095238208770752,0.3904762089252472,0.3619047701358795,0.3142857223749161,0.4190476298332214,0.3809523940086364,0.3714285790920257,0.3904762029647827,0.4000000119209289,0.4190476238727569,0.4380952477455139,0.4476190567016601,0.4000000119209289,0.4190476298332214,0.3904761970043182,0.380952388048172,0.3904761970043182,0.4095238208770752,0.4571428656578064,0.4380952477455139
gelu,0.5897224995807,126,0.0196389301729,3,0.0026655329842,classification_ozone,0.5523809731006623,0.4380952537059784,0.4285714417695999,0.4000000089406967,0.4571428716182709,0.3523809611797333,0.3619047671556473,0.4095238178968429,0.4476190596818924,0.4666666805744171,0.4476190567016601,0.4476190537214279,0.4476190656423569,0.4571428775787353,0.4666666805744171,0.4285714387893676,0.4666666805744171,0.4952381074428558,0.4952381134033203,0.4571428686380386
gelu,0.4899734113487,82,0.0021330018676,4,0.0031108333565,classification_ozone,0.504761916399002,0.3904762029647827,0.4285714447498321,0.4857142984867096,0.5333333492279053,0.4952381134033203,0.4571428716182709,0.4285714387893676,0.4095238208770752,0.4190476298332214,0.4285714387893676,0.4380952477455139,0.4761904895305633,0.4380952477455139,0.4095238208770752,0.4190476298332214,0.4095238208770752,0.3904762029647827,0.4000000119209289,0.3904761999845504
relu,0.4376880633244,19,0.0433755257267,4,0.0098651493996,classification_ozone,0.5238095462322235,0.5333333551883698,0.4380952537059784,0.4380952477455139,0.504761916399002,0.4952381134033203,0.4761904895305633,0.5047619223594666,0.4857142984867096,0.4476190626621246,0.4285714328289032,0.4571428716182709,0.4476190626621246,0.4476190626621246,0.4380952477455139,0.4380952477455139,0.4380952477455139,0.4380952477455139,0.4476190567016601,0.4380952477455139
relu,0.1542695426505,35,0.0021110505901,2,0.0045628407918,classification_ozone,0.4761904895305633,0.4285714387893676,0.4285714328289032,0.4380952477455139,0.4476190567016601,0.4761904835700988,0.4380952477455139,0.4857142984867096,0.4476190626621246,0.4000000059604645,0.4095238149166107,0.5047619223594666,0.4952381134033203,0.4476190567016601,0.5142857313156128,0.5047619223594666,0.5333333492279053,0.5142857253551483,0.5523809790611267,0.5428571581840516
tanh,0.4485864177243,18,0.0002096245559,3,0.0006130606599,classification_ozone,0.4857142984867096,0.5523809731006623,0.504761916399002,0.5333333551883698,0.542857164144516,0.5333333551883698,0.542857164144516,0.5428571581840516,0.5142857313156128,0.5142857313156128,0.5142857313156128,0.5047619223594666,0.5047619223594666,0.4952381074428558,0.4952381074428558,0.4952381074428558,0.5238095402717591,0.5333333551883698,0.5238095462322235,0.542857164144516
tanh,0.3951925165896,21,0.0057584761905,4,0.0038866593358,classification_ozone,0.4857142984867096,0.4571428716182709,0.4761904895305633,0.4666666805744171,0.4571428656578064,0.4285714387893676,0.4285714447498321,0.4000000059604645,0.4095238149166107,0.380952388048172,0.380952388048172,0.380952388048172,0.380952388048172,0.380952388048172,0.4000000059604645,0.4190476298332214,0.3904761970043182,0.4190476298332214,0.3904761970043182,0.4000000059604645
gelu,0.5998511040315,20,0.0027432075375,1,0.0006254974272,classification_ozone,0.4761904895305633,0.504761916399002,0.4952381074428558,0.4095238208770752,0.4476190626621246,0.4476190626621246,0.4190476298332214,0.4190476238727569,0.4380952477455139,0.4380952477455139,0.4190476238727569,0.4476190567016601,0.4571428656578064,0.4285714387893676,0.4761904835700988,0.4761904835700988,0.4571428656578064,0.4476190507411957,0.4857142925262451,0.4571428656578064
gelu,0.576039467471,58,0.0067281898586,1,0.0075831471365,classification_ozone,0.4666666835546493,0.5523809671401978,0.4380952477455139,0.4761904895305633,0.4857142984867096,0.4380952447652816,0.4666666805744171,0.4095238178968429,0.4476190596818924,0.4857143014669418,0.4571428656578064,0.4571428656578064,0.4857142984867096,0.4666666805744171,0.4761904895305633,0.4380952537059784,0.4761904895305633,0.4952381044626236,0.4571428745985031,0.4190476298332214
tanh,0.5445570676935,62,0.0136820190846,1,0.0004185799218,classification_ozone,0.4285714328289032,0.5238095462322235,0.4476190626621246,0.504761916399002,0.580952399969101,0.5333333492279053,0.4190476298332214,0.504761916399002,0.5333333432674408,0.4476190567016601,0.4380952417850494,0.4285714387893676,0.4380952477455139,0.4380952477455139,0.504761916399002,0.5142857313156128,0.5523809611797332,0.4952381074428558,0.4380952477455139,0.4000000059604645
gelu,0.1395354874086,37,0.0020337054123,4,0.0090391358284,classification_ozone,0.5714285910129547,0.5714285969734192,0.5714285969734192,0.5619047820568085,0.5904762089252472,0.6095238268375397,0.5904762089252472,0.5238095462322235,0.580952399969101,0.5714285910129547,0.5523809731006623,0.5238095402717591,0.5238095402717591,0.5333333492279053,0.5238095462322235,0.523809552192688,0.5333333492279053,0.4952381074428558,0.4761904835700988,0.504761916399002
