activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
sigmoid,0.0316357380817,7,0.008921639794,210,1,max,2,BeetleFly,0.425,0.475,0.5,0.55,0.625,0.65,0.675,0.625,0.6,0.575,0.575,0.6,0.6,0.6,0.625,0.625,0.625,0.625,0.625,0.625
relu,0.1002373772,5,0.000578138975,195,4,average,1,BeetleFly,0.625,0.575,0.55,0.475,0.475,0.525,0.55,0.525,0.525,0.55,0.55,0.525,0.45,0.475,0.45,0.525,0.525,0.575,0.575,0.6
elu,0.0056401571014,3,0.0031180063205,195,5,average,2,BeetleFly,0.525,0.55,0.675,0.65,0.65,0.575,0.6,0.625,0.65,0.625,0.6,0.575,0.575,0.575,0.575,0.575,0.575,0.6,0.6,0.575
tanh,0.3400891675248,7,0.0002394279243,112,5,max,2,BeetleFly,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.55,0.55,0.6,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.625
elu,0.0437363810925,4,0.0003864861313,66,3,average,1,BeetleFly,0.5,0.6,0.6,0.6,0.6,0.575,0.6,0.6,0.6,0.575,0.55,0.55,0.575,0.575,0.575,0.55,0.525,0.525,0.525,0.525
sigmoid,0.4590141595431,3,0.0001423807595,240,1,average,2,BeetleFly,0.425,0.425,0.425,0.425,0.4,0.425,0.475,0.475,0.475,0.475,0.5,0.525,0.55,0.55,0.575,0.575,0.575,0.55,0.55,0.55
tanh,0.4108851442206,4,0.0012635817786,216,3,max,2,BeetleFly,0.6,0.525,0.55,0.625,0.55,0.525,0.5,0.575,0.55,0.55,0.525,0.5,0.475,0.55,0.55,0.55,0.525,0.5,0.5,0.525
relu,0.3605328622166,5,0.0059486585564,168,4,max,2,BeetleFly,0.575,0.55,0.525,0.5,0.6,0.525,0.5,0.5,0.525,0.5,0.525,0.55,0.55,0.525,0.55,0.55,0.55,0.575,0.575,0.575
tanh,0.2652935704802,5,0.0001983210615,99,1,average,2,BeetleFly,0.525,0.525,0.5,0.55,0.55,0.6,0.625,0.625,0.625,0.6,0.625,0.625,0.6,0.6,0.575,0.575,0.575,0.575,0.55,0.55
gelu,0.0212628766936,6,0.000223862674,82,5,max,2,BeetleFly,0.525,0.525,0.575,0.575,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.65
tanh,0.2701386130325,3,0.0019141552194,66,2,max,2,BeetleFly,0.525,0.675,0.7,0.65,0.65,0.6,0.6,0.575,0.575,0.575,0.55,0.55,0.6,0.625,0.625,0.6,0.6,0.6,0.6,0.6
relu,0.2444002349967,6,0.0001159821621,138,5,average,1,BeetleFly,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.575,0.575,0.55,0.55,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
sigmoid,0.4236197382293,3,0.0038542687994,117,1,max,1,BeetleFly,0.5,0.475,0.525,0.475,0.5,0.475,0.4,0.425,0.475,0.5,0.475,0.425,0.425,0.425,0.45,0.475,0.475,0.425,0.45,0.475
elu,0.4722973779954,7,0.0013868105038,104,1,max,1,BeetleFly,0.45,0.6,0.625,0.575,0.6,0.6,0.625,0.625,0.625,0.625,0.65,0.675,0.65,0.65,0.65,0.65,0.65,0.6,0.6,0.6
gelu,0.2893169653679,5,0.0002211469819,183,5,average,2,BeetleFly,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.4,0.375,0.375,0.375,0.4,0.425,0.4,0.425,0.4,0.4,0.425,0.425
tanh,0.3858592412077,5,0.0003061217952,74,3,max,1,BeetleFly,0.425,0.425,0.425,0.425,0.45,0.5,0.5,0.5,0.5,0.525,0.55,0.525,0.525,0.525,0.525,0.475,0.475,0.475,0.5,0.525
relu,0.0078882678643,5,0.0045123278898,195,3,max,2,BeetleFly,0.475,0.425,0.55,0.5,0.5,0.55,0.55,0.525,0.525,0.5,0.5,0.5,0.525,0.5,0.525,0.525,0.55,0.55,0.55,0.6
relu,0.0108427022631,5,0.0001405522414,71,1,average,2,BeetleFly,0.525,0.525,0.6,0.6,0.55,0.55,0.525,0.55,0.575,0.55,0.55,0.575,0.625,0.625,0.625,0.575,0.575,0.575,0.55,0.55
gelu,0.0202157471885,5,0.0004122656761,117,5,max,2,BeetleFly,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.5,0.525,0.575,0.575,0.55,0.55,0.55,0.6,0.65
tanh,0.1548834018516,7,0.0014487286361,83,4,max,1,BeetleFly,0.475,0.5,0.45,0.475,0.475,0.5,0.55,0.525,0.475,0.5,0.475,0.5,0.5,0.5,0.5,0.475,0.475,0.5,0.525,0.5
tanh,0.1194962398135,7,0.000941673812,110,3,average,1,BeetleFly,0.525,0.575,0.5,0.475,0.45,0.475,0.475,0.525,0.525,0.525,0.5,0.5,0.5,0.525,0.525,0.5,0.475,0.475,0.475,0.475
tanh,0.1699128935091,6,0.0002131079126,65,2,average,1,BeetleFly,0.425,0.575,0.725,0.75,0.75,0.775,0.75,0.775,0.75,0.75,0.75,0.75,0.75,0.7,0.7,0.7,0.675,0.675,0.675,0.675
gelu,0.1821827399285,4,0.0006759569922,205,4,average,2,BeetleFly,0.45,0.525,0.55,0.575,0.6,0.6,0.625,0.6,0.525,0.575,0.6,0.675,0.675,0.65,0.625,0.625,0.65,0.65,0.625,0.625
elu,0.1448800013698,7,0.0001227732513,65,4,max,1,BeetleFly,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.45,0.45,0.5,0.525,0.5
elu,0.1448148202729,5,0.0037892970949,95,3,max,2,BeetleFly,0.525,0.65,0.675,0.725,0.7,0.7,0.7,0.725,0.7,0.675,0.7,0.725,0.75,0.75,0.725,0.675,0.7,0.7,0.7,0.725
