activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0220773980159,7,0.0001267295802,67,3,max,2,KeplerLightCurves,0.1387499999999999,0.305691270828247,0.3120805323123932,0.3120805323123932,0.3124026811122894,0.3160805368423462,0.3235973113775253,0.3609127503633499,0.4011812102794647,0.4680805373191834,0.4935570454597474,0.4817449676990509,0.4760268437862396,0.4671946287155151,0.460322151184082,0.4574228239059448,0.4698523473739624,0.4810201340913773,0.4425234895944595,0.4034899294376373
tanh,0.2273539345273,9,4.24669333e-05,96,4,average,2,KeplerLightCurves,0.17375,0.17361073769629,0.1681073816120624,0.1759194634854793,0.2328053663671017,0.2626845599710941,0.3265503334999084,0.3349798631668091,0.3459865784645081,0.3542550373077392,0.3609664452075958,0.364214768409729,0.3693154382705688,0.3748187887668609,0.3806979858875275,0.3837583875656128,0.3884295308589935,0.3898523485660553,0.3955704689025879,0.3911677837371826
elu,0.4995202576621,4,2.56392017e-05,113,2,max,2,KeplerLightCurves,0.1387499999999999,0.1782550325244665,0.1672214764356613,0.1607248312234878,0.1532617431879043,0.1636241602897644,0.1815838932991028,0.2148187911510467,0.2883758389949798,0.3960268461704254,0.4331812083721161,0.4317852365970611,0.4275704717636108,0.413771812915802,0.4126711452007294,0.412993289232254,0.4078926181793212,0.408939596414566,0.4107382559776306,0.4146577179431915
gelu,0.1867035658686,3,8.37923097e-05,46,3,max,1,KeplerLightCurves,0.134375,0.2487516754865646,0.2382013410329818,0.2063892602920532,0.1925906032323837,0.2146308708190917,0.2543624132871628,0.2510335522890091,0.2563221502304077,0.279785236120224,0.317959732413292,0.347651006579399,0.3517583930492401,0.3287785223126411,0.3162147641181946,0.3388993263244629,0.3274899345636368,0.3481342297792434,0.3372617420554161,0.3270872443914413
gelu,0.3719129270375,5,0.0004549480408,87,3,max,1,KeplerLightCurves,0.15375,0.221691272854805,0.1397583894431591,0.1455033554881811,0.161476509347558,0.1855033545196056,0.1859060394763946,0.2329395970702171,0.2525100666284561,0.2848859065771102,0.268939597606659,0.2963221481442452,0.2732348996400833,0.2938791936635971,0.3026577189564705,0.3139597314596176,0.2885906046628952,0.2922416108846664,0.2935570466518402,0.3134765091538429
tanh,0.0046595313917,5,0.0001052183697,88,4,max,2,KeplerLightCurves,0.1556249999999999,0.2752483189105987,0.2811543589830398,0.2436510038748383,0.2537181186676026,0.2455302017927169,0.2744697988033294,0.3739597332477569,0.496375834941864,0.5967785251140594,0.6498523533344269,0.6580671107769012,0.6626308727264404,0.6715704679489136,0.6789261746406556,0.6638120770454408,0.6875436210632325,0.6600536942481995,0.6594630873203278,0.6601342272758484
sigmoid,0.0869778333402,7,4.61452655e-05,34,3,average,1,KeplerLightCurves,0.148125,0.1354630866646766,0.1380939590930939,0.1585771789401769,0.1777718095481396,0.2055302008241414,0.2180402670055627,0.2854765108227729,0.3254496639966965,0.3329127532243728,0.3306577187776566,0.3296375864744186,0.3283489918708801,0.3216912746429443,0.3159463095664978,0.3089127522706985,0.307570470571518,0.3075704663991928,0.3117583912611007,0.3244832211732864
gelu,0.2941836664469,7,7.5979105e-05,87,4,max,2,KeplerLightCurves,0.1525,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3135033547878265,0.3201879167556762,0.3363221442699432,0.3597315442562103,0.3748187911510467,0.3801879215240478,0.3902013456821441,0.3947114098072052,0.3962953054904937,0.4048859047889709,0.4070604038238525,0.4087248349189759,0.4291812062263488
tanh,0.2881476345836,8,0.000987375268,65,1,max,1,KeplerLightCurves,0.14875,0.2382013420760631,0.2265234872698784,0.2408053660392761,0.237476507127285,0.201342282295227,0.1961610741913318,0.1317315435409546,0.1017718122899532,0.091543623059988,0.0875973141193389,0.0950872479379177,0.0910604023188352,0.082281878888607,0.0858523468673229,0.079436240941286,0.0819060400128364,0.074953019246459,0.078362415805459,0.0836241609603166
tanh,0.0968423076517,5,2.38317101e-05,27,3,max,2,KeplerLightCurves,0.1649999999999999,0.2114630869030952,0.2009395974874496,0.1864697974920272,0.1887248313426971,0.1895838928222656,0.1881610739231109,0.2067382538318634,0.2655570441484451,0.3590335595607757,0.4304429519176483,0.47200000166893,0.4777181220054626,0.4830335557460785,0.492805370092392,0.4919731545448303,0.5046711444854737,0.5137181222438811,0.517020137310028,0.5227114045619964
