Model,Dataset,Schedule,Constraint_Key,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Budget_Utilization,Early_Stopping
CNN,BeetleFly,Moderate,max_time_hours_72,72,0.2000,0.2000,0.0002,False
CNN,BeetleFly,Aggressive,max_epochs_1000,1000,0.0000,0.4000,1.0000,True
CNN,BeetleFly,Aggressive,max_epochs_2000,2000,0.0000,0.4000,1.0000,True
CNN,BeetleFly,Aggressive,max_epochs_5000,5000,0.4000,0.4000,0.6200,False
CNN,BeetleFly,Aggressive,max_time_hours_10,10,0.4000,0.4000,0.0013,False
CNN,BeetleFly,Aggressive,max_time_hours_24,24,0.4000,0.4000,0.0006,False
CNN,BeetleFly,Aggressive,max_time_hours_72,72,0.4000,0.4000,0.0002,False
CNN,BeetleFly,Conservative,max_epochs_1000,1000,0.8000,0.4000,1.0000,True
CNN,BeetleFly,Conservative,max_epochs_2000,2000,1.0000,0.4000,1.0000,True
CNN,BeetleFly,Conservative,max_epochs_5000,5000,0.8000,0.4000,1.0000,True
CNN,BeetleFly,Conservative,max_time_hours_10,10,0.4000,0.4000,0.0052,False
CNN,BeetleFly,Conservative,max_time_hours_24,24,0.4000,0.4000,0.0022,False
CNN,BeetleFly,Conservative,max_time_hours_72,72,0.4000,0.4000,0.0007,False
CNN,BeetleFly,VeryAggressive,max_epochs_1000,1000,0.0000,0.2000,1.0000,True
CNN,BeetleFly,VeryAggressive,max_epochs_2000,2000,0.0000,0.2000,1.0000,True
CNN,BeetleFly,VeryAggressive,max_epochs_5000,5000,0.2000,0.2000,1.0000,True
CNN,BeetleFly,VeryAggressive,max_time_hours_10,10,0.2000,0.2000,0.0026,False
CNN,BeetleFly,VeryAggressive,max_time_hours_24,24,0.2000,0.2000,0.0011,False
CNN,BeetleFly,VeryAggressive,max_time_hours_72,72,0.2000,0.2000,0.0004,False
CNN,BeetleFly,Standard,max_epochs_1000,1000,0.0000,0.6000,1.0000,True
CNN,BeetleFly,Standard,max_epochs_2000,2000,0.8000,0.6000,1.0000,True
CNN,BeetleFly,Standard,max_epochs_5000,5000,0.6000,0.6000,0.6840,False
CNN,BeetleFly,Standard,max_time_hours_10,10,0.6000,0.6000,0.0013,False
CNN,BeetleFly,Standard,max_time_hours_24,24,0.6000,0.6000,0.0005,False
CNN,BeetleFly,Standard,max_time_hours_72,72,0.6000,0.6000,0.0002,False
CNN,BinaryHeartbeat,Moderate,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Moderate,max_epochs_2000,2000,0.6000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Moderate,max_epochs_5000,5000,0.2000,0.2000,0.7200,False
CNN,BinaryHeartbeat,Moderate,max_time_hours_10,10,0.2000,0.2000,0.0212,False
CNN,BinaryHeartbeat,Moderate,max_time_hours_24,24,0.2000,0.2000,0.0088,False
CNN,BinaryHeartbeat,Moderate,max_time_hours_72,72,0.2000,0.2000,0.0029,False
CNN,BinaryHeartbeat,Aggressive,max_epochs_1000,1000,0.4000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Aggressive,max_epochs_2000,2000,0.8000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Aggressive,max_epochs_5000,5000,0.2000,0.2000,0.6200,False
CNN,BinaryHeartbeat,Aggressive,max_time_hours_10,10,0.2000,0.2000,0.0194,False
CNN,BinaryHeartbeat,Aggressive,max_time_hours_24,24,0.2000,0.2000,0.0081,False
CNN,BinaryHeartbeat,Aggressive,max_time_hours_72,72,0.2000,0.2000,0.0027,False
CNN,BinaryHeartbeat,Conservative,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Conservative,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Conservative,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,BinaryHeartbeat,Conservative,max_time_hours_10,10,0.2000,0.2000,0.0744,False
CNN,BinaryHeartbeat,Conservative,max_time_hours_24,24,0.2000,0.2000,0.0310,False
CNN,BinaryHeartbeat,Conservative,max_time_hours_72,72,0.2000,0.2000,0.0103,False
CNN,BinaryHeartbeat,VeryAggressive,max_epochs_1000,1000,0.2000,0.4000,1.0000,True
CNN,BinaryHeartbeat,VeryAggressive,max_epochs_2000,2000,0.6000,0.4000,1.0000,True
CNN,BinaryHeartbeat,VeryAggressive,max_epochs_5000,5000,0.8000,0.4000,1.0000,True
CNN,BinaryHeartbeat,VeryAggressive,max_time_hours_10,10,0.4000,0.4000,0.0381,False
CNN,BinaryHeartbeat,VeryAggressive,max_time_hours_24,24,0.4000,0.4000,0.0159,False
