Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
FCNN,Adiac,Moderate,3600,0.34,0.01,64.00,4
FCNN,Adiac,Aggressive,3100,0.29,0.01,69.00,3
FCNN,Adiac,Conservative,12500,1.34,0.06,-25.00,5
FCNN,Adiac,VeryAggressive,5600,0.55,0.02,44.00,3
FCNN,Adiac,Standard,3420,0.41,0.02,65.80,7
FCNN,ArrowHead,Moderate,3600,0.11,0.00,64.00,4
FCNN,ArrowHead,Aggressive,3100,0.10,0.00,69.00,3
FCNN,ArrowHead,Conservative,12500,0.39,0.02,-25.00,5
FCNN,ArrowHead,VeryAggressive,5600,0.17,0.01,44.00,3
FCNN,ArrowHead,Standard,3420,0.11,0.00,65.80,7
FCNN,Beef,Moderate,3600,0.10,0.00,64.00,4
FCNN,Beef,Aggressive,3100,0.09,0.00,69.00,3
FCNN,Beef,Conservative,12500,0.38,0.02,-25.00,5
FCNN,Beef,VeryAggressive,5600,0.18,0.01,44.00,3
FCNN,Beef,Standard,3420,0.08,0.00,65.80,7
FCNN,BeetleFly,Moderate,3600,0.12,0.01,64.00,4
FCNN,BeetleFly,Aggressive,3100,0.12,0.00,69.00,3
FCNN,BeetleFly,Conservative,12500,0.40,0.02,-25.00,5
FCNN,BeetleFly,VeryAggressive,5600,0.23,0.01,44.00,3
FCNN,BeetleFly,Standard,3420,0.11,0.00,65.80,7
FCNN,BinaryHeartbeat,Moderate,3600,0.23,0.01,64.00,4
FCNN,BinaryHeartbeat,Aggressive,3100,0.19,0.01,69.00,3
FCNN,BinaryHeartbeat,Conservative,12500,0.81,0.03,-25.00,5
FCNN,BinaryHeartbeat,VeryAggressive,5600,0.34,0.01,44.00,3
FCNN,BinaryHeartbeat,Standard,3420,0.23,0.01,65.80,7
FCNN,BirdChicken,Moderate,3600,0.09,0.00,64.00,4
FCNN,BirdChicken,Aggressive,3100,0.08,0.00,69.00,3
FCNN,BirdChicken,Conservative,12500,0.32,0.01,-25.00,5
FCNN,BirdChicken,VeryAggressive,5600,0.14,0.01,44.00,3
FCNN,BirdChicken,Standard,3420,0.08,0.00,65.80,7
FCNN,CBF,Moderate,3600,0.26,0.01,64.00,4
FCNN,CBF,Aggressive,3100,0.25,0.01,69.00,3
FCNN,CBF,Conservative,12500,0.89,0.04,-25.00,5
FCNN,CBF,VeryAggressive,5600,0.50,0.02,44.00,3
FCNN,CBF,Standard,3420,0.23,0.01,65.80,7
FCNN,Car,Moderate,3600,0.06,0.00,64.00,4
FCNN,Car,Aggressive,3100,0.05,0.00,69.00,3
FCNN,Car,Conservative,12500,0.22,0.01,-25.00,5
FCNN,Car,VeryAggressive,5600,0.10,0.00,44.00,3
FCNN,Car,Standard,3420,0.06,0.00,65.80,7
FCNN,CatsDogs,Moderate,3600,0.15,0.01,64.00,4
FCNN,CatsDogs,Aggressive,3100,0.12,0.01,69.00,3
FCNN,CatsDogs,Conservative,12500,0.51,0.02,-25.00,5
FCNN,CatsDogs,VeryAggressive,5600,0.22,0.01,44.00,3
FCNN,CatsDogs,Standard,3420,0.14,0.01,65.80,7
FCNN,ChlorineConcentration,Moderate,3600,0.55,0.02,64.00,4
FCNN,ChlorineConcentration,Aggressive,3100,0.52,0.02,69.00,3
FCNN,ChlorineConcentration,Conservative,12500,2.02,0.08,-25.00,5
FCNN,ChlorineConcentration,VeryAggressive,5600,0.96,0.04,44.00,3
FCNN,ChlorineConcentration,Standard,3420,0.51,0.02,65.80,7
FCNN,CinCECGTorso,Moderate,3600,0.18,0.01,64.00,4
FCNN,CinCECGTorso,Aggressive,3100,0.16,0.01,69.00,3
FCNN,CinCECGTorso,Conservative,12500,0.60,0.03,-25.00,5
FCNN,CinCECGTorso,VeryAggressive,5600,0.28,0.01,44.00,3
FCNN,CinCECGTorso,Standard,3420,0.17,0.01,65.80,7
FCNN,CounterMovementJump,Moderate,3600,0.16,0.01,64.00,4
FCNN,CounterMovementJump,Aggressive,3100,0.14,0.01,69.00,3
FCNN,CounterMovementJump,Conservative,12500,0.55,0.02,-25.00,5
FCNN,CounterMovementJump,VeryAggressive,5600,0.25,0.01,44.00,3
FCNN,CounterMovementJump,Standard,3420,0.15,0.01,65.80,7
FCNN,DucksAndGeese,Moderate,3600,0.06,0.00,64.00,4
FCNN,DucksAndGeese,Aggressive,3100,0.05,0.00,69.00,3
FCNN,DucksAndGeese,Conservative,12500,0.21,0.01,-25.00,5
FCNN,DucksAndGeese,VeryAggressive,5600,0.09,0.00,44.00,3
FCNN,DucksAndGeese,Standard,3420,0.05,0.00,65.80,7
FCNN,EigenWorms,Moderate,3600,0.18,0.01,64.00,4
FCNN,EigenWorms,Aggressive,3100,0.15,0.01,69.00,3
FCNN,EigenWorms,Conservative,12500,0.63,0.03,-25.00,5
FCNN,EigenWorms,VeryAggressive,5600,0.28,0.01,44.00,3
