activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
gelu,0.2832765322529,28,0.0002283784877,1,1.65950009e-05,ArrowHead,0.3451162785291671,0.4111627900600433,0.4948837220668792,0.56651162981987,0.5925581407546997,0.6130232608318329,0.6446511650085449,0.664186053276062,0.704186041355133,0.717209300994873,0.7432558155059814,0.747906973361969,0.7544186043739318,0.7674418544769287,0.7637209248542786,0.7637209272384644,0.7702325558662414,0.7804651117324829,0.7832558131217956,0.7758139538764954
tanh,0.5418824269471,53,3.31280424e-05,4,1.88153436e-05,ArrowHead,0.3302325594425201,0.3348837220668793,0.3413953506946564,0.3413953500986099,0.343255814909935,0.3367441868782043,0.3460465115308762,0.3423255842924118,0.3423255836963654,0.3479069799184799,0.3534883737564087,0.3451162809133529,0.3451162815093994,0.3469767445325851,0.3600000011920928,0.363720930814743,0.3590697711706161,0.3600000035762787,0.3730232572555542,0.367441862821579
gelu,0.5897224995807,84,0.0002998338024,2,0.0003724138885,ArrowHead,0.3497674453258514,0.4195348852872848,0.4827907013893127,0.5600000059604645,0.6139534914493561,0.6520930242538452,0.6920930171012879,0.7051162815093994,0.7246511626243591,0.736744179725647,0.7451162767410278,0.7525581336021425,0.7516279101371766,0.7655813956260682,0.7739534854888916,0.786046507358551,0.7786046552658081,0.7776744222640991,0.7869767427444458,0.7813953471183777
gelu,0.139269492333,19,0.0007898021665,3,0.0096102073728,ArrowHead,0.3488372111320495,0.3972093057632446,0.4353488397598267,0.4818604660034179,0.560930233001709,0.6083720922470093,0.6204651165008545,0.7069767475128174,0.7246511626243592,0.6995348811149598,0.6967441833019256,0.6911627912521363,0.7367441844940186,0.7665116310119628,0.7739534854888916,0.779534878730774,0.7627906990051269,0.7693023300170898,0.7786046481132507,0.7832558083534241
tanh,0.4507764162907,122,0.000180558342,2,1.7997467e-05,ArrowHead,0.349767444729805,0.4409302335977554,0.5674418604373932,0.6493023300170899,0.6855813956260681,0.7088372039794921,0.7218604612350464,0.738604645729065,0.7599999952316284,0.7748837161064147,0.7823255729675294,0.7860465049743652,0.7962790656089782,0.8018604636192321,0.8037209248542785,0.8074418592453003,0.8046511602401732,0.8186046504974366,0.8241860365867615,0.8102325510978698
tanh,0.4015135203542,33,0.0004842848408,2,0.0001293803392,ArrowHead,0.3413953500986099,0.4018604648113251,0.490232560634613,0.5739534962177277,0.6390697717666626,0.6641860449314118,0.6846511626243592,0.7153488349914552,0.7330232548713684,0.7497674369812012,0.7655813932418823,0.7413953483104706,0.7581395316123962,0.7758139443397523,0.7711627936363221,0.7841860389709472,0.7860465121269227,0.7879069733619689,0.7767441821098329,0.7879069757461548
gelu,0.471118959826,104,0.0002537691519,2,2.56708519e-05,ArrowHead,0.3637209320068359,0.4883720922470093,0.5581395411491393,0.6176744210720063,0.6679069781303406,0.7041860437393188,0.7479069685935974,0.7730232501029968,0.7832558107376099,0.7841860437393189,0.785116274356842,0.7879069709777833,0.7897674417495729,0.7990697622299194,0.8074418592453003,0.8111627888679503,0.8093023204803467,0.8093023252487184,0.8148837208747863,0.8074418616294861
tanh,0.5654320092304,87,0.0001158055464,3,1.84467359e-05,ArrowHead,0.3172093018889427,0.3469767463207245,0.3609302353858948,0.3841860496997833,0.4241860473155975,0.4706976747512817,0.5144186115264893,0.544186053276062,0.5665116333961486,0.5748837232589722,0.5944186127185821,0.6186046504974365,0.6362790703773499,0.6418604683876038,0.6437209296226502,0.651162793636322,0.6595348858833313,0.6772092962265015,0.6855813956260681,0.6874418592453002
tanh,0.228598639845,63,0.0002070251449,4,0.0007022902394,ArrowHead,0.3265116262435913,0.3451162791252136,0.3534883737564087,0.3990697705745697,0.498604656457901,0.5758139550685882,0.6325581407546996,0.669767439365387,0.7032558226585388,0.7190697646141052,0.7423255801200866,0.7516279029846192,0.7544186019897461,0.7674418568611145,0.7748837113380432,0.7804651117324829,0.795348834991455,0.7981395316123961,0.8037209248542785,0.7999999928474425
relu,0.2116593749515,74,0.0003267675617,2,0.0032315068373,ArrowHead,0.3432558158040047,0.4734883779287339,0.577674423456192,0.6251162779331207,0.684651165008545,0.7293023228645326,0.7637209248542784,0.7813953423500062,0.785116274356842,0.7953488326072693,0.8176744174957274,0.8251162672042845,0.8241860365867615,0.8325581312179565,0.828837206363678,0.8269767379760742,0.8409302234649658,0.8427906918525696,0.844651153087616,0.8465116262435913
relu,0.237058174095,45,0.000921830222,2,0.0002078255787,ArrowHead,0.3348837214708328,0.5209302341938018,0.6018604719638824,0.6400000035762787,0.681860466003418,0.7190697646141052,0.7413953447341919,0.7265116238594054,0.7516279029846191,0.7832558083534241,0.7693023276329042,0.7758139514923096,0.7748837113380432,0.7869767355918884,0.7925581383705139,0.7999999952316283,0.7841860485076904,0.78697674036026,0.7823255825042725,0.8158139538764952
relu,0.2751696398672,62,0.0007771786562,3,4.05281379e-05,ArrowHead,0.3162790703773498,0.4362790727615356,0.5739534926414489,0.6288372111320496,0.6548837232589722,0.6995348858833312,0.723720932006836,0.7683720898628235,0.7655813932418825,0.7776744174957276,0.7813953447341919,0.7906976747512817,0.791627905368805,0.7999999976158142,0.8148837137222289,0.8120930218696595,0.8074418520927431,0.8055813932418824,0.8176744127273559,0.8130232524871828
relu,0.3855350201478,36,0.0001148376201,4,1.92851743e-05,ArrowHead,0.3283720916509628,0.3423255825042725,0.346976745724678,0.3441860508918762,0.345116280913353,0.3674418622255325,0.4083720952272415,0.4213953500986099,0.453953491449356,0.4818604665994644,0.4827906978130341,0.5013953530788422,0.5079069781303407,0.5116279089450837,0.5274418592453003,0.5330232572555542,0.5255813980102539,0.5479069769382476,0.5683720993995667,0.5581395399570466
gelu,0.1643375203836,121,0.0001047384386,2,0.0006227351117,ArrowHead,0.3218604677915573,0.3823255825042724,0.4995348834991454,0.5832558190822601,0.6493023252487182,0.7209302306175231,0.7451162743568419,0.7841860389709472,0.7944185996055604,0.7944185996055604,0.7879069757461548,0.7916279006004334,0.8074418544769287,0.8176744151115416,0.8213953471183777,0.8186046504974366,0.8158139514923095,0.8213953471183777,0.825116274356842,0.8297674393653869
tanh,0.5624341486215,95,0.0003002869756,3,3.2756894e-05,ArrowHead,0.3302325582504272,0.3674418610334397,0.4111627924442291,0.4697674441337585,0.5404651188850403,0.5990697705745698,0.642790697813034,0.6772093081474304,0.6883720898628235,0.6976744151115417,0.6995348834991455,0.7162790679931641,0.7339534878730775,0.7460465097427368,0.7590697646141052,0.768372094631195,0.7730232548713685,0.7720930242538452,0.7646511626243591,0.7776744151115417
tanh,0.3440526606443,54,6.61821282e-05,3,1.48257375e-05,ArrowHead,0.3413953495025635,0.3348837208747864,0.3469767463207245,0.3665116298198699,0.3934883749485016,0.4186046516895294,0.4641860461235046,0.5106976771354675,0.5283720946311952,0.5460465157032013,0.572093026638031,0.5972093045711517,0.6148837220668794,0.6279069769382476,0.6269767463207245,0.6446511662006378,0.6511627924442291,0.6613953495025635,0.6725581383705139,0.6781395363807678
gelu,0.3564659077042,84,4.98572845e-05,1,8.34725661e-05,ArrowHead,0.3237209278345108,0.3479069775342941,0.4074418652057647,0.4790697687864303,0.560930233001709,0.6018604683876039,0.618604655265808,0.6344186103343963,0.6567441868782044,0.6762790668010712,0.6995348811149598,0.7144186043739318,0.723720932006836,0.7293023300170899,0.7320930218696595,0.739534888267517,0.747906985282898,0.7581395363807678,0.7581395387649537,0.7646511673927308
tanh,0.4141413345385,115,0.0004864460896,2,1.55767178e-05,ArrowHead,0.3479069799184799,0.5376744174957275,0.6111627888679505,0.6316279101371765,0.6641860485076905,0.6902325558662414,0.7246511602401734,0.7367441892623902,0.7804651141166687,0.8,0.8139534831047058,0.8260465121269227,0.8269767379760742,0.8167441773414612,0.8130232453346252,0.8269767427444459,0.8260465073585511,0.8372092986106873,0.8334883642196654,0.8381395316123964
gelu,0.4526099750305,39,2.42616205e-05,1,0.0099989303323,ArrowHead,0.3311627900600433,0.3367441880702972,0.3720930254459381,0.3832558137178421,0.4102325576543807,0.428837214410305,0.4520930221676826,0.4716279131174087,0.4837209349870681,0.4855813986063003,0.50604651927948,0.5246511650085448,0.5413953518867494,0.5562790703773498,0.5674418592453003,0.5879069793224335,0.6074418604373932,0.611162793636322,0.6167441868782043,0.6269767475128175
gelu,0.2780573070811,48,0.0003252047885,1,0.0009302168281,ArrowHead,0.3125581413507461,0.439069766998291,0.5097674417495728,0.5637209343910217,0.5953488349914551,0.6251162827014923,0.6613953495025634,0.7079069757461548,0.7488372087478637,0.7720930218696596,0.7758139514923096,0.7851162767410278,0.7925581312179565,0.8130232453346254,0.8093023252487184,0.81395348072052,0.8093023204803467,0.8111627840995789,0.8139534831047058,0.8176744174957277
gelu,0.3069765786903,87,1.41157704e-05,1,3.82145799e-05,ArrowHead,0.3479069781303406,0.3786046493053436,0.4,0.4260465168952942,0.449302327632904,0.4716279101371765,0.4837209296226502,0.5088372099399567,0.5293023288249971,0.538604656457901,0.5544186055660247,0.5600000011920929,0.5739534878730773,0.5786046493053436,0.5925581431388856,0.6065116345882415,0.6111627960205077,0.6139534950256347,0.6241860485076904,0.6362790703773499
relu,0.2878640975281,10,0.0005056631383,2,1.21442474e-05,ArrowHead,0.3432558143138885,0.3469767451286315,0.3972093069553374,0.4623255842924118,0.5209302389621734,0.5516279065608979,0.577674422264099,0.597209312915802,0.6316279101371765,0.6502325582504274,0.6586046588420867,0.6669767475128173,0.6772093081474304,0.6948837161064148,0.7023255777359008,0.7069767451286316,0.7032558131217957,0.7181395316123963,0.7162790679931641,0.7106976819038391
gelu,0.3275022767039,17,1.26450106e-05,3,3.97007272e-05,ArrowHead,0.3339534878730774,0.3460465133190155,0.323720930814743,0.300465118587017,0.2958139541745185,0.2911627948284149,0.2930232584476471,0.2939534944295883,0.315348837673664,0.3274418646097182,0.3339534926414489,0.3432558172941208,0.3395348900556564,0.3367441880702972,0.3469767487049103,0.3423255866765975,0.346976745724678,0.3553488385677337,0.3609302324056626,0.3534883713722229
tanh,0.5878285953449,24,9.31625175e-05,3,0.0003456764945,ArrowHead,0.3348837196826935,0.3497674417495727,0.3339534866809844,0.3404651147127151,0.3544186049699783,0.3665116286277771,0.371162793636322,0.3795348858833313,0.3934883743524551,0.388837211728096,0.4130232566595077,0.4158139610290527,0.415813957452774,0.4195348840951919,0.4316279089450837,0.4390697693824767,0.4465116286277771,0.4409302353858947,0.4399999976158142,0.4493023252487182
tanh,0.1785005305243,33,7.10048516e-05,1,0.000229559909,ArrowHead,0.3255813995003699,0.3451162827014923,0.3925581431388855,0.4269767451286316,0.4827906954288482,0.53302325963974,0.5525581455230713,0.5795348834991454,0.6018604683876037,0.6195348846912383,0.6325581407546997,0.6502325558662415,0.6632558131217956,0.6679069757461549,0.6762790632247925,0.690232548713684,0.7032558107376099,0.7144186043739319,0.7209302282333374,0.7311627840995789
gelu,0.59338668424,71,0.0007431084002,1,2.57853995e-05,ArrowHead,0.3516279065608979,0.5525581419467926,0.5758139562606812,0.5916279089450837,0.6400000035762787,0.6706976699829101,0.7032558059692382,0.7283720898628234,0.7479069757461547,0.7665116262435914,0.7823255801200866,0.7897674417495727,0.7925581383705138,0.7748837184906006,0.7748837184906006,0.7888372015953065,0.7990697574615477,0.7879069709777833,0.8074418544769287,0.8055813908576965
