Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
FCNN,CatsDogs,RandomForest,0.67 ± 0.11,0.040 ± 0.007,0.030 ± 0.006
FCNN,CatsDogs,XGBoost,0.57 ± 0.17,0.044 ± 0.009,0.032 ± 0.006
FCNN,ChlorineConcentration,LinearRegression,0.64 ± 0.11,0.031 ± 0.003,0.026 ± 0.003
FCNN,ChlorineConcentration,RandomForest,0.81 ± 0.08,0.022 ± 0.004,0.017 ± 0.003
FCNN,ChlorineConcentration,XGBoost,0.79 ± 0.10,0.024 ± 0.004,0.018 ± 0.003
FCNN,CinCECGTorso,LinearRegression,0.39 ± 0.20,0.156 ± 0.014,0.131 ± 0.013
FCNN,CinCECGTorso,RandomForest,0.56 ± 0.15,0.134 ± 0.021,0.104 ± 0.018
FCNN,CinCECGTorso,XGBoost,0.50 ± 0.24,0.139 ± 0.022,0.102 ± 0.018
FCNN,CounterMovementJump,LinearRegression,0.54 ± 0.15,0.115 ± 0.013,0.096 ± 0.011
FCNN,CounterMovementJump,RandomForest,0.70 ± 0.11,0.092 ± 0.017,0.073 ± 0.014
FCNN,CounterMovementJump,XGBoost,0.69 ± 0.11,0.094 ± 0.015,0.069 ± 0.014
FCNN,DucksAndGeese,LinearRegression,0.70 ± 0.12,0.107 ± 0.019,0.088 ± 0.015
FCNN,DucksAndGeese,RandomForest,0.72 ± 0.15,0.102 ± 0.021,0.075 ± 0.016
FCNN,DucksAndGeese,XGBoost,0.72 ± 0.15,0.103 ± 0.022,0.073 ± 0.017
FCNN,EigenWorms,LinearRegression,0.59 ± 0.13,0.127 ± 0.012,0.104 ± 0.013
FCNN,EigenWorms,RandomForest,0.70 ± 0.09,0.109 ± 0.017,0.084 ± 0.017
FCNN,EigenWorms,XGBoost,0.65 ± 0.12,0.117 ± 0.021,0.085 ± 0.017
FCNN,FaultDetectionB,LinearRegression,0.63 ± 0.12,0.111 ± 0.017,0.089 ± 0.015
FCNN,FaultDetectionB,RandomForest,0.76 ± 0.07,0.089 ± 0.012,0.070 ± 0.011
FCNN,FaultDetectionB,XGBoost,0.72 ± 0.11,0.095 ± 0.016,0.072 ± 0.015
FCNN,FiftyWords,LinearRegression,0.54 ± 0.16,0.124 ± 0.017,0.101 ± 0.016
FCNN,FiftyWords,RandomForest,0.74 ± 0.12,0.093 ± 0.015,0.075 ± 0.012
FCNN,FiftyWords,XGBoost,0.68 ± 0.14,0.102 ± 0.017,0.080 ± 0.014
FCNN,HouseTwenty,LinearRegression,0.46 ± 0.17,0.050 ± 0.005,0.042 ± 0.005
FCNN,HouseTwenty,RandomForest,0.71 ± 0.09,0.037 ± 0.006,0.029 ± 0.005
FCNN,HouseTwenty,XGBoost,0.63 ± 0.18,0.040 ± 0.007,0.031 ± 0.005
FCNN,KeplerLightCurves,LinearRegression,0.57 ± 0.14,0.039 ± 0.005,0.033 ± 0.005
FCNN,KeplerLightCurves,RandomForest,0.67 ± 0.12,0.034 ± 0.005,0.027 ± 0.004
FCNN,KeplerLightCurves,XGBoost,0.58 ± 0.19,0.038 ± 0.007,0.030 ± 0.006
FCNN,RightWhaleCalls,LinearRegression,0.14 ± 0.22,0.007 ± 0.001,0.005 ± 0.001
FCNN,RightWhaleCalls,RandomForest,0.08 ± 0.20,0.007 ± 0.001,0.005 ± 0.001
FCNN,RightWhaleCalls,XGBoost,-0.17 ± 0.27,0.008 ± 0.001,0.006 ± 0.001
FCNN,classification_ozone,LinearRegression,0.52 ± 0.21,0.030 ± 0.004,0.024 ± 0.004
FCNN,classification_ozone,RandomForest,0.34 ± 0.35,0.036 ± 0.006,0.028 ± 0.005
FCNN,classification_ozone,XGBoost,0.19 ± 0.43,0.039 ± 0.007,0.031 ± 0.005
GRU,AbnormalHeartbeat,LinearRegression,-0.41 ± 0.75,0.004 ± 0.002,0.003 ± 0.001
GRU,AbnormalHeartbeat,RandomForest,-0.20 ± 0.32,0.004 ± 0.002,0.002 ± 0.001
GRU,AbnormalHeartbeat,XGBoost,-2.32 ± 4.46,0.005 ± 0.003,0.003 ± 0.001
GRU,Adiac,LinearRegression,0.53 ± 0.17,0.025 ± 0.004,0.020 ± 0.003
GRU,Adiac,RandomForest,0.67 ± 0.10,0.021 ± 0.003,0.018 ± 0.002
GRU,Adiac,XGBoost,0.63 ± 0.13,0.022 ± 0.003,0.018 ± 0.003
GRU,ArrowHead,LinearRegression,0.51 ± 0.20,0.022 ± 0.004,0.018 ± 0.003
GRU,ArrowHead,RandomForest,0.66 ± 0.10,0.019 ± 0.002,0.015 ± 0.002
GRU,ArrowHead,XGBoost,0.60 ± 0.15,0.020 ± 0.003,0.016 ± 0.002
GRU,Beef,LinearRegression,0.54 ± 0.12,0.019 ± 0.002,0.015 ± 0.002
GRU,Beef,RandomForest,0.64 ± 0.15,0.016 ± 0.003,0.013 ± 0.002
GRU,Beef,XGBoost,0.54 ± 0.12,0.019 ± 0.002,0.015 ± 0.002
GRU,BeetleFly,LinearRegression,0.30 ± 0.14,0.054 ± 0.008,0.044 ± 0.006
GRU,BeetleFly,RandomForest,0.55 ± 0.12,0.043 ± 0.008,0.030 ± 0.006
GRU,BeetleFly,XGBoost,0.49 ± 0.25,0.045 ± 0.012,0.031 ± 0.007
GRU,BinaryHeartbeat,LinearRegression,-0.22 ± 0.30,0.004 ± 0.002,0.002 ± 0.001
GRU,BinaryHeartbeat,RandomForest,-0.82 ± 1.19,0.004 ± 0.002,0.003 ± 0.001
GRU,BinaryHeartbeat,XGBoost,-1.86 ± 3.04,0.005 ± 0.002,0.003 ± 0.001
GRU,BirdChicken,LinearRegression,0.05 ± 0.29,0.027 ± 0.004,0.022 ± 0.004
GRU,BirdChicken,RandomForest,0.23 ± 0.34,0.024 ± 0.004,0.019 ± 0.004
GRU,BirdChicken,XGBoost,0.02 ± 0.46,0.027 ± 0.005,0.022 ± 0.004
GRU,CBF,LinearRegression,0.61 ± 0.09,0.118 ± 0.013,0.099 ± 0.012
GRU,CBF,RandomForest,0.87 ± 0.05,0.066 ± 0.011,0.051 ± 0.009
GRU,CBF,XGBoost,0.83 ± 0.09,0.076 ± 0.015,0.057 ± 0.012
GRU,Car,LinearRegression,0.38 ± 0.37,0.029 ± 0.005,0.022 ± 0.004
