activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
tanh,0.3598577668179,97,0.0001710513892,2,0.000212288609,BeetleFly,0.5450000000000002,0.57,0.56,0.595,0.6100000000000001,0.63,0.6599999999999999,0.655,0.6799999999999999,0.6799999999999999,0.6900000000000001,0.7,0.695,0.695,0.7,0.695,0.7050000000000001,0.72,0.7150000000000001,0.7150000000000001
relu,0.1896161786388,61,0.0003504652287,2,6.50137646e-05,BeetleFly,0.495,0.515,0.5650000000000001,0.605,0.625,0.6699999999999999,0.7050000000000001,0.7,0.7,0.72,0.7350000000000001,0.73,0.75,0.75,0.75,0.76,0.7700000000000001,0.7850000000000001,0.795,0.79
tanh,0.3732282489862,52,3.55376075e-05,1,0.0029814817911,BeetleFly,0.505,0.495,0.495,0.515,0.525,0.54,0.5599999999999999,0.57,0.58,0.5900000000000001,0.595,0.6,0.5950000000000001,0.6050000000000001,0.615,0.6200000000000001,0.6200000000000001,0.625,0.635,0.635
relu,0.222145433479,60,1.47982394e-05,1,0.0001301780752,BeetleFly,0.49,0.495,0.5,0.515,0.545,0.55,0.5549999999999999,0.55,0.5650000000000001,0.5700000000000001,0.575,0.58,0.575,0.58,0.5800000000000001,0.5800000000000001,0.58,0.59,0.6,0.5950000000000001
tanh,0.403809122103,113,5.02195109e-05,3,1.55817198e-05,BeetleFly,0.505,0.54,0.54,0.52,0.5349999999999999,0.5199999999999999,0.5,0.5,0.4899999999999999,0.51,0.5199999999999999,0.52,0.525,0.525,0.535,0.555,0.55,0.5549999999999999,0.5650000000000001,0.5650000000000001
gelu,0.5910472957284,101,0.000873650542,1,0.0045889881914,BeetleFly,0.505,0.61,0.6950000000000001,0.72,0.7150000000000001,0.735,0.75,0.755,0.76,0.7649999999999999,0.76,0.765,0.76,0.7649999999999999,0.7750000000000001,0.7750000000000001,0.7750000000000001,0.7750000000000001,0.7750000000000001,0.7750000000000001
tanh,0.2351176852506,99,0.0005117392098,1,0.0020747109966,BeetleFly,0.485,0.525,0.63,0.665,0.6950000000000001,0.73,0.7549999999999999,0.76,0.765,0.76,0.76,0.78,0.775,0.78,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.78,0.78,0.78
tanh,0.4562104264616,78,1.52439706e-05,1,0.0006697882844,BeetleFly,0.4949999999999999,0.495,0.5,0.48,0.48,0.48,0.48,0.4899999999999999,0.4899999999999999,0.475,0.49,0.49,0.4949999999999999,0.4949999999999999,0.4949999999999999,0.5,0.51,0.515,0.515,0.5200000000000001
tanh,0.2539002266266,35,0.0005090194004,3,1.29494704e-05,BeetleFly,0.49,0.4949999999999999,0.545,0.53,0.54,0.5549999999999999,0.565,0.5950000000000001,0.625,0.63,0.65,0.64,0.65,0.68,0.695,0.7249999999999999,0.7249999999999999,0.73,0.7449999999999999,0.7550000000000001
relu,0.5192528517626,96,3.28752997e-05,3,7.281832e-05,BeetleFly,0.55,0.55,0.53,0.53,0.53,0.545,0.555,0.5599999999999999,0.585,0.57,0.5900000000000001,0.5900000000000001,0.5950000000000001,0.5950000000000001,0.5900000000000001,0.595,0.6,0.595,0.595,0.6
gelu,0.4332637919435,84,2.73862445e-05,3,0.0028550074334,BeetleFly,0.495,0.5149999999999999,0.495,0.5,0.485,0.475,0.47,0.4699999999999999,0.485,0.49,0.5,0.505,0.505,0.52,0.5349999999999999,0.53,0.525,0.5349999999999999,0.53,0.5449999999999999
relu,0.2180165742874,109,0.0006376616949,2,0.0002519075909,BeetleFly,0.475,0.5199999999999999,0.61,0.6200000000000001,0.67,0.7150000000000001,0.7550000000000001,0.76,0.7649999999999999,0.7699999999999999,0.775,0.775,0.775,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.7849999999999999,0.7849999999999999
relu,0.1101956892241,77,0.0001513120523,2,9.78948298e-05,BeetleFly,0.51,0.5200000000000001,0.525,0.545,0.585,0.6,0.615,0.6299999999999999,0.6599999999999999,0.6599999999999999,0.6799999999999999,0.6849999999999999,0.7,0.7049999999999998,0.705,0.71,0.725,0.7249999999999999,0.72,0.7300000000000001
gelu,0.1828064306006,27,0.0001707063446,4,0.0025555869149,BeetleFly,0.505,0.505,0.5,0.5,0.505,0.505,0.52,0.51,0.515,0.515,0.53,0.5549999999999999,0.565,0.55,0.5349999999999999,0.5349999999999999,0.5450000000000002,0.5599999999999999,0.5700000000000001,0.585
relu,0.2980488070471,118,4.85323195e-05,4,0.0015685687232,BeetleFly,0.5,0.5,0.475,0.48,0.475,0.495,0.53,0.5349999999999999,0.525,0.525,0.55,0.54,0.54,0.54,0.54,0.54,0.5399999999999999,0.5449999999999999,0.5449999999999999,0.5549999999999999
gelu,0.2553340760765,113,1.68908172e-05,2,1.56947633e-05,BeetleFly,0.5,0.505,0.5349999999999999,0.485,0.4899999999999999,0.4899999999999999,0.475,0.48,0.495,0.5,0.495,0.495,0.49,0.495,0.49,0.49,0.49,0.48,0.4800000000000001,0.48
