Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
CNN,Adiac,29,246053,0.7312,5,No
CNN,Adiac,16,334217,0.6382,5,No
CNN,Adiac,20,36647,0.4502,5,No
CNN,Adiac,18,47997,0.7710,5,No
CNN,Adiac,27,313937,0.8010,5,No
CNN,Adiac,73,264661,0.7964,5,No
CNN,Adiac,87,206178,0.7024,5,No
CNN,Adiac,80,676783,0.7246,5,No
CNN,Adiac,74,505987,0.7506,5,No
CNN,Adiac,42,251134,0.6968,5,No
CNN,Adiac,89,7573,0.7679,5,No
CNN,Adiac,45,345650,0.7399,5,No
CNN,Adiac,19,638997,0.6275,5,No
CNN,Adiac,26,535607,0.6810,5,No
CNN,Adiac,21,11114,0.7587,5,No
CNN,Adiac,28,85031,0.8018,5,No
CNN,Adiac,17,13397,0.7322,5,No
CNN,Adiac,10,7981,0.7141,5,No
CNN,Adiac,44,58744,0.7246,5,No
CNN,Adiac,43,208663,0.8326,5,No
CNN,Adiac,88,210940,0.5740,5,No
CNN,Adiac,75,277902,0.8033,5,No
CNN,Adiac,81,691051,0.7450,5,No
CNN,Adiac,86,1364037,0.8069,5,No
CNN,Adiac,72,397954,0.7320,5,No
CNN,ArrowHead,36,67143,0.8595,5,No
CNN,ArrowHead,9,144939,0.8642,5,No
CNN,ArrowHead,31,144973,0.8633,5,No
CNN,ArrowHead,7,4854,0.8047,5,No
CNN,ArrowHead,38,84585,0.8149,5,No
CNN,ArrowHead,54,67053,0.8195,5,No
CNN,ArrowHead,98,27503,0.8967,5,No
CNN,ArrowHead,53,86448,0.8214,5,No
CNN,ArrowHead,91,58985,0.8233,5,No
CNN,ArrowHead,65,19919,0.8428,5,No
CNN,ArrowHead,62,70152,0.9302,5,No
CNN,ArrowHead,96,255171,0.8828,5,No
CNN,ArrowHead,1,73227,0.6298,5,No
CNN,ArrowHead,39,47889,0.8642,5,No
CNN,ArrowHead,6,142422,0.8586,5,No
CNN,ArrowHead,30,121619,0.9181,5,No
CNN,ArrowHead,8,42333,0.8177,5,No
CNN,ArrowHead,37,164520,0.8614,5,No
CNN,ArrowHead,97,49663,0.8186,5,No
CNN,ArrowHead,63,10182,0.8363,5,No
CNN,ArrowHead,64,73557,0.9060,5,No
CNN,ArrowHead,90,123654,0.8279,5,No
CNN,ArrowHead,99,13426,0.9005,5,No
CNN,ArrowHead,52,78592,0.8260,5,No
CNN,ArrowHead,55,78549,0.8763,5,No
CNN,ArrowHead,83,89919,0.8279,5,No
CNN,ArrowHead,77,49338,0.8140,5,No
CNN,ArrowHead,48,42438,0.8372,5,No
CNN,ArrowHead,70,140526,0.8586,5,No
CNN,ArrowHead,84,21063,0.6660,5,No
CNN,ArrowHead,46,229683,0.8614,5,No
CNN,ArrowHead,79,118704,0.8074,5,No
CNN,ArrowHead,41,424628,0.8698,5,No
CNN,ArrowHead,15,3227,0.8493,5,No
CNN,ArrowHead,12,67163,0.8084,5,No
CNN,ArrowHead,24,7859,0.9088,5,No
CNN,ArrowHead,23,27291,0.8307,5,No
CNN,ArrowHead,40,73579,0.9200,5,No
CNN,ArrowHead,47,182535,0.8530,5,No
CNN,ArrowHead,78,25648,0.8465,5,No
CNN,ArrowHead,85,700857,0.8763,5,No
CNN,ArrowHead,71,33672,0.8298,5,No
CNN,ArrowHead,100,26843,0.7535,5,No
CNN,ArrowHead,76,110323,0.8279,5,No
CNN,ArrowHead,82,132667,0.8428,5,No
CNN,ArrowHead,49,98307,0.8335,5,No
CNN,ArrowHead,22,180132,0.8912,5,No
CNN,ArrowHead,25,66654,0.8716,5,No
CNN,ArrowHead,13,37821,0.8177,5,No
CNN,ArrowHead,14,58010,0.9088,5,No
CNN,ArrowHead,50,29523,0.7023,5,No
CNN,ArrowHead,68,2907,0.6419,5,No
CNN,ArrowHead,57,12163,0.8270,5,No
CNN,ArrowHead,61,16343,0.7991,5,No
CNN,ArrowHead,95,538611,0.8456,5,No
CNN,ArrowHead,59,26778,0.8167,5,No
CNN,ArrowHead,92,258127,0.8363,5,No
CNN,ArrowHead,66,69739,0.9460,5,No
CNN,ArrowHead,32,13667,0.8623,5,No
CNN,ArrowHead,35,470648,0.8716,5,No
CNN,ArrowHead,3,35994,0.7433,5,No
CNN,ArrowHead,4,37251,0.8660,5,No
CNN,ArrowHead,58,110355,0.8130,5,No
CNN,ArrowHead,67,91564,0.8893,5,No
CNN,ArrowHead,93,41295,0.8502,5,No
CNN,ArrowHead,94,20577,0.8177,5,No
CNN,ArrowHead,60,136278,0.8651,5,No
CNN,ArrowHead,69,184611,0.8549,5,No
CNN,ArrowHead,56,393808,0.9135,5,No
CNN,ArrowHead,51,357597,0.8735,5,No
CNN,ArrowHead,5,40575,0.8233,5,No
CNN,ArrowHead,2,82083,0.8186,5,No
CNN,ArrowHead,34,39999,0.8735,5,No
CNN,ArrowHead,33,3279,0.8186,5,No
CNN,ArrowHead,11,42507,0.8112,5,No
CNN,ArrowHead,29,61731,0.8093,5,No
CNN,ArrowHead,16,51992,0.8270,5,No
CNN,ArrowHead,20,30873,0.7907,5,No
CNN,ArrowHead,18,16239,0.8047,5,No
CNN,ArrowHead,27,299799,0.8521,5,No
CNN,ArrowHead,73,184596,0.8363,5,No
CNN,ArrowHead,87,133323,0.8307,5,No
CNN,ArrowHead,80,204511,0.8521,5,No
CNN,ArrowHead,74,74028,0.8465,5,No
CNN,ArrowHead,42,29263,0.8233,5,No
CNN,ArrowHead,89,1771,0.8670,5,No
CNN,ArrowHead,45,40389,0.8037,5,No
CNN,ArrowHead,19,74581,0.7972,5,No
CNN,ArrowHead,26,132443,0.8158,5,No
CNN,ArrowHead,21,3149,0.8763,5,No
CNN,ArrowHead,28,10091,0.8791,5,No
CNN,ArrowHead,17,1827,0.8419,5,No
CNN,ArrowHead,10,2179,0.8995,5,No
CNN,ArrowHead,44,6879,0.8056,5,No
CNN,ArrowHead,43,145902,0.9209,5,No
CNN,ArrowHead,88,183032,0.8223,5,No
CNN,ArrowHead,75,263928,0.9237,5,No
CNN,ArrowHead,81,80563,0.8130,5,No
CNN,ArrowHead,86,649887,0.9033,5,No
CNN,ArrowHead,72,69657,0.8437,5,No
CNN,Beef,36,139010,0.7933,5,No
CNN,Beef,9,153741,0.7233,5,No
CNN,Beef,31,296690,0.8533,5,No
CNN,Beef,7,5395,0.3200,5,No
CNN,Beef,38,261854,0.8700,5,No
CNN,Beef,54,138920,0.6633,5,No
CNN,Beef,98,59445,0.7633,5,No
CNN,Beef,53,266911,0.8333,5,No
CNN,Beef,91,181956,0.8100,5,No
CNN,Beef,65,61521,0.7667,5,No
CNN,Beef,62,83353,0.8067,5,No
CNN,Beef,96,264773,0.6933,5,No
CNN,Beef,1,118316,0.5167,5,No
CNN,Beef,39,121353,0.8200,5,No
CNN,Beef,6,281363,0.7900,5,No
CNN,Beef,30,130421,0.8767,5,No
CNN,Beef,8,96633,0.8533,5,No
CNN,Beef,37,173222,0.5233,5,No
CNN,Beef,97,153470,0.8533,5,No
CNN,Beef,63,15503,0.4867,5,No
CNN,Beef,64,147021,0.8600,5,No
CNN,Beef,90,133556,0.6967,5,No
CNN,Beef,99,16528,0.6700,5,No
CNN,Beef,52,243085,0.7533,5,No
CNN,Beef,55,99433,0.7300,5,No
CNN,Beef,83,278367,0.7533,5,No
CNN,Beef,77,153145,0.6567,5,No
CNN,Beef,48,114305,0.8867,5,No
CNN,Beef,70,289049,0.8333,5,No
CNN,Beef,84,47000,0.5033,5,No
CNN,Beef,46,405355,0.7500,5,No
CNN,Beef,79,292779,0.7233,5,No
CNN,Beef,41,624255,0.6400,5,No
CNN,Beef,15,3866,0.6233,5,No
CNN,Beef,12,140627,0.5467,5,No
CNN,Beef,24,8645,0.6300,5,No
CNN,Beef,23,84785,0.7600,5,No
CNN,Beef,40,80381,0.6900,5,No
CNN,Beef,47,351819,0.7700,5,No
CNN,Beef,78,62381,0.7233,5,No
CNN,Beef,85,897290,0.6800,5,No
CNN,Beef,71,103274,0.7833,5,No
CNN,Beef,100,51184,0.7833,5,No
CNN,Beef,76,289189,0.7767,5,No
CNN,Beef,82,141869,0.5667,5,No
CNN,Beef,49,200517,0.8300,5,No
CNN,Beef,22,199243,0.8367,5,No
CNN,Beef,25,128939,0.6767,5,No
CNN,Beef,13,117023,0.7367,5,No
CNN,Beef,14,71999,0.7400,5,No
CNN,Beef,50,33125,0.4400,5,No
CNN,Beef,68,7298,0.2433,5,No
CNN,Beef,57,37717,0.7467,5,No
CNN,Beef,61,50745,0.6767,5,No
CNN,Beef,95,717477,0.9300,5,No
CNN,Beef,59,82675,0.8167,5,No
CNN,Beef,92,408247,0.5500,5,No
CNN,Beef,66,71995,0.7300,5,No
CNN,Beef,32,15041,0.6933,5,No
CNN,Beef,35,651111,0.7667,5,No
CNN,Beef,3,37515,0.2700,5,No
CNN,Beef,4,62789,0.7933,5,No
CNN,Beef,58,231729,0.7567,5,No
CNN,Beef,67,217729,0.8433,5,No
CNN,Beef,93,44897,0.3400,5,No
CNN,Beef,94,63779,0.5700,5,No
CNN,Beef,60,139661,0.6867,5,No
CNN,Beef,69,337925,0.7933,5,No
CNN,Beef,56,574271,0.8167,5,No
CNN,Beef,51,528478,0.7433,5,No
CNN,Beef,5,98069,0.5100,5,No
CNN,Beef,2,254561,0.8200,5,No
