activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
relu,0.0910466730872,657,64,1.54326389e-05,4,1,max,CinCECGTorso,0.2375,0.2375,0.2375,0.2375,0.2625,0.275,0.275,0.2625,0.2375,0.2375,0.25,0.225,0.2375,0.2375,0.2375,0.225,0.2,0.2,0.1875,0.1875
gelu,0.1658959396054,302,134,0.0002702331854,3,6,mean,CinCECGTorso,0.3,0.175,0.3875,0.2875,0.175,0.25,0.275,0.275,0.2375,0.3125,0.3375,0.2875,0.325,0.3125,0.35,0.3625,0.3375,0.3375,0.3125,0.3625
relu,0.2730251423111,278,242,0.0007346151138,5,1,max,CinCECGTorso,0.2625,0.2,0.25,0.2875,0.2875,0.2625,0.275,0.3125,0.2,0.3,0.2625,0.2875,0.2875,0.3,0.2875,0.275,0.3375,0.3,0.3375,0.325
relu,0.1382521285016,622,115,0.000930904845,4,2,max,CinCECGTorso,0.25,0.2375,0.2875,0.2375,0.2875,0.2875,0.2375,0.2625,0.275,0.3125,0.2625,0.2875,0.2625,0.25,0.2875,0.3,0.3375,0.3,0.3375,0.3125
gelu,0.2766234918722,279,312,0.0004416842666,8,2,max,CinCECGTorso,0.2375,0.2375,0.275,0.2875,0.375,0.3,0.2375,0.375,0.3125,0.3375,0.3625,0.4125,0.3625,0.275,0.35,0.2875,0.3375,0.3375,0.35,0.3375
gelu,0.0809898731934,529,88,1.14048304e-05,5,1,mean,CinCECGTorso,0.1875,0.225,0.225,0.2375,0.25,0.2625,0.3,0.3,0.2875,0.2875,0.2875,0.325,0.35,0.35,0.325,0.3,0.3125,0.325,0.325,0.3375
gelu,0.252184489884,775,413,0.0004976881485,2,2,max,CinCECGTorso,0.35,0.2375,0.25,0.225,0.4125,0.15,0.3,0.3875,0.225,0.4375,0.3625,0.35,0.3625,0.2375,0.3625,0.375,0.3,0.3625,0.4125,0.3875
gelu,0.074602929832,756,158,3.0761898e-05,5,2,max,CinCECGTorso,0.2125,0.2625,0.225,0.25,0.375,0.375,0.35,0.2625,0.2625,0.275,0.3,0.3125,0.35,0.3625,0.375,0.375,0.3875,0.3875,0.3875,0.375
relu,0.1580375267873,459,358,2.02694669e-05,2,4,max,CinCECGTorso,0.225,0.1625,0.3,0.2875,0.2875,0.3,0.2875,0.2875,0.2875,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2875,0.2625,0.2625
relu,0.2633252996383,531,137,0.0004363594998,6,5,mean,CinCECGTorso,0.2375,0.3125,0.2875,0.2125,0.3875,0.275,0.3,0.325,0.3625,0.35,0.35,0.3125,0.3125,0.375,0.3875,0.4,0.4125,0.375,0.4375,0.425
relu,0.1745348366843,385,161,1.39996323e-05,3,2,max,CinCECGTorso,0.2375,0.25,0.275,0.3,0.325,0.3,0.3125,0.275,0.2875,0.275,0.275,0.2625,0.25,0.2375,0.225,0.2125,0.225,0.225,0.225,0.2625
gelu,0.1151665825521,601,239,0.0002136104085,3,5,mean,CinCECGTorso,0.2125,0.3875,0.3125,0.2625,0.25,0.325,0.325,0.2625,0.325,0.3875,0.275,0.3125,0.3625,0.375,0.3875,0.35,0.3125,0.35,0.3875,0.3625
relu,0.218584331441,683,202,0.0002079150577,6,5,mean,CinCECGTorso,0.2625,0.2,0.3375,0.225,0.225,0.2875,0.4,0.2625,0.15,0.2875,0.3875,0.25,0.275,0.25,0.25,0.2875,0.3375,0.3125,0.3375,0.275
gelu,0.2509067179751,907,393,4.99048575e-05,3,2,mean,CinCECGTorso,0.225,0.375,0.35,0.3125,0.2875,0.35,0.2875,0.2375,0.2375,0.2625,0.2875,0.2375,0.225,0.3,0.3625,0.35,0.3375,0.3125,0.3125,0.3125
gelu,0.1909034723157,962,194,0.0005101409637,6,6,mean,CinCECGTorso,0.175,0.4125,0.2375,0.3875,0.1875,0.2125,0.375,0.275,0.2625,0.325,0.4125,0.3625,0.2625,0.375,0.425,0.3625,0.35,0.325,0.35,0.35
relu,0.2217601084509,327,455,2.84710583e-05,6,5,mean,CinCECGTorso,0.1875,0.35,0.275,0.2625,0.375,0.2875,0.3125,0.3375,0.3375,0.3375,0.275,0.2875,0.35,0.3375,0.3375,0.3125,0.3,0.3,0.325,0.3375
gelu,0.0845558831264,617,261,0.0001521304248,7,3,mean,CinCECGTorso,0.1625,0.1625,0.2375,0.325,0.1875,0.3375,0.2875,0.3,0.325,0.25,0.35,0.35,0.35,0.325,0.4,0.325,0.325,0.3375,0.425,0.35
relu,0.2824880686935,647,493,0.0006507194189,7,5,mean,CinCECGTorso,0.2125,0.25,0.3375,0.2375,0.3625,0.2125,0.25,0.15,0.2625,0.25,0.275,0.3125,0.3875,0.25,0.3,0.375,0.4125,0.3875,0.4,0.3625
gelu,0.004576789529,271,74,4.0582752e-05,7,3,max,CinCECGTorso,0.275,0.275,0.2875,0.2875,0.2625,0.25,0.2125,0.2,0.2,0.1875,0.2,0.2625,0.2625,0.275,0.2625,0.275,0.275,0.2875,0.2625,0.275
