activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0220773980159,7,0.0001267295802,67,3,max,2,CounterMovementJump,0.3375,0.7242857170104979,0.9080952358245848,0.9559523820877076,0.960238094329834,0.9671428513526916,0.9680952334403992,0.967142848968506,0.9680952262878416,0.9671428489685058,0.967142848968506,0.9680952310562134,0.9685714221000672,0.9690476059913636,0.9695237970352172,0.9704761791229248,0.969523799419403,0.9690476107597352,0.969523799419403,0.9690476107597352
tanh,0.2273539345273,9,4.24669333e-05,96,4,average,2,CounterMovementJump,0.345625,0.5899999976158142,0.683095235824585,0.7264285731315614,0.7861904835700988,0.8085714268684387,0.8438095211982727,0.8692857170104981,0.8819047617912293,0.905476188659668,0.9,0.9169047641754152,0.9223809576034544,0.9288095211982728,0.9359523820877076,0.9357142877578736,0.9378571486473084,0.9399999976158142,0.9452380871772764,0.9507142853736876
elu,0.4995202576621,4,2.56392017e-05,113,2,max,2,CounterMovementJump,0.328125,0.6183333361148834,0.732142858505249,0.7728571462631225,0.8159523797035216,0.833571422100067,0.8342857122421264,0.8602380967140197,0.8730952429771422,0.8723809480667114,0.8790476155281068,0.8895238113403321,0.893095235824585,0.8895238065719605,0.9035714340209962,0.8969047617912291,0.9047619080543516,0.9047619009017944,0.9088095211982729,0.9092857122421264
gelu,0.1867035658686,3,8.37923097e-05,46,3,max,1,CounterMovementJump,0.3475,0.7819047617912293,0.9221428561210632,0.9428571414947512,0.9576190423965456,0.9614285683631896,0.9607142806053162,0.9566666626930236,0.9630952286720276,0.9616666674613952,0.9635714221000672,0.9616666650772094,0.960714282989502,0.9621428537368776,0.9635714197158812,0.962619037628174,0.9621428537368776,0.9626190447807312,0.9630952310562136,0.960714285373688
gelu,0.3719129270375,5,0.0004549480408,87,3,max,1,CounterMovementJump,0.349375,0.6754761946201324,0.8147618961334228,0.8845238137245179,0.8892857146263122,0.9259523797035218,0.9219047570228576,0.9354761862754822,0.9421428561210632,0.941428563594818,0.945714282989502,0.9514285659790038,0.9385714268684386,0.9357142925262452,0.9369047546386716,0.945476188659668,0.9426190400123596,0.9397619104385376,0.9333333349227904,0.9476190423965456
tanh,0.0046595313917,5,0.0001052183697,88,4,max,2,CounterMovementJump,0.349375,0.6904761910438537,0.8311904740333557,0.9014285707473756,0.9338095259666443,0.9533333349227906,0.9602380895614624,0.968095235824585,0.9683333277702332,0.9699999904632568,0.9728571319580076,0.9726190400123595,0.9745238089561464,0.971904752254486,0.9773809432983398,0.9745238041877746,0.973095233440399,0.9749999880790712,0.9759523749351502,0.9759523701667784
sigmoid,0.0869778333402,7,4.61452655e-05,34,3,average,1,CounterMovementJump,0.319375,0.6135714292526245,0.8164285731315613,0.8999999952316283,0.9135714221000673,0.9264285635948182,0.9269047546386716,0.9266666579246522,0.9290476131439208,0.9280952334403992,0.9266666579246522,0.9242857050895692,0.9290476083755492,0.9280952286720277,0.9261904644966126,0.92714284658432,0.9257142782211304,0.9261904668807984,0.9299999904632568,0.927619035243988
gelu,0.2941836664469,7,7.5979105e-05,87,4,max,2,CounterMovementJump,0.3087499999999999,0.4004761922359466,0.4199999988079071,0.4633333349227905,0.5169047629833221,0.580238093137741,0.6259523761272431,0.6447619080543519,0.672619047164917,0.6752380919456483,0.6940476155281067,0.7052380990982055,0.7164285731315614,0.7221428537368775,0.7309523820877075,0.7349999976158142,0.737857141494751,0.7419047641754151,0.7454761934280396,0.7466666603088379
tanh,0.2881476345836,8,0.000987375268,65,1,max,1,CounterMovementJump,0.345,0.5907142865657807,0.7207142877578735,0.7850000023841858,0.844285717010498,0.8728571486473082,0.8830952382087709,0.8904761910438538,0.8911904788017273,0.9007142806053162,0.8907142877578735,0.8838095235824586,0.8830952405929565,0.8997619032859803,0.8969047570228577,0.8950000047683716,0.9009523773193358,0.8892857146263123,0.9033333325386048,0.9066666626930238
tanh,0.0968423076517,5,2.38317101e-05,27,3,max,2,CounterMovementJump,0.32375,0.4990476202964782,0.560952376127243,0.6159523797035218,0.6283333325386047,0.6485714292526245,0.6707142889499664,0.675,0.6988095188140869,0.6983333313465119,0.7304761862754822,0.7280952358245851,0.7328571391105653,0.7519047617912293,0.7566666698455811,0.760476188659668,0.7838095259666443,0.7809523773193359,0.7892857122421265,0.7976190447807311
