activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0220773980159,7,0.0001267295802,67,3,max,2,ChlorineConcentration,0.34625,0.4621024739742279,0.4406735610961914,0.4379600638151169,0.4723213815689087,0.4929805171489715,0.4994370949268341,0.5084435915946961,0.5204137587547303,0.5285638689994813,0.5293625223636627,0.5319605493545533,0.5331729650497437,0.5366947340965271,0.5325282704830169,0.5337791597843171,0.5358287239074707,0.5406206452846527,0.5420639860630035,0.5361366367340088
tanh,0.2273539345273,9,4.24669333e-05,96,4,average,2,ChlorineConcentration,0.3356249999999999,0.5330093741416931,0.5405821418762207,0.5390329480171203,0.538176566362381,0.5317199862003326,0.5365022838115692,0.5395140707492827,0.5415828657150268,0.5413711762428284,0.5413134503364564,0.5410440242290497,0.5433629989624024,0.5440269374847413,0.5442867422103882,0.5444984340667725,0.5426317095756531,0.5424873733520508,0.5426317095756531,0.5433437585830688
elu,0.4995202576621,4,2.56392017e-05,113,2,max,2,ChlorineConcentration,0.280625,0.3570748102664948,0.4428866976499557,0.5098003411293031,0.5301707899570466,0.5357421135902405,0.536762079000473,0.5371469724178315,0.536406054496765,0.5352609956264496,0.5326918411254883,0.5304113519191741,0.5295453405380249,0.5303824794292449,0.5307385146617889,0.5290449798107149,0.5273803234100342,0.5262352657318116,0.5244647598266602,0.524397405385971
gelu,0.1867035658686,3,8.37923097e-05,46,3,max,1,ChlorineConcentration,0.35625,0.5203367674350738,0.5213663560152055,0.5205003494024277,0.5155352377891541,0.5207601583003998,0.5327303361892701,0.5357517433166503,0.5397738695144654,0.5394274687767029,0.5397353887557984,0.5416309785842894,0.5426220822334289,0.5413808035850524,0.5406398785114288,0.5360211718082428,0.5324801516532898,0.5314505636692047,0.5353764748573303,0.5388501358032226
gelu,0.3719129270375,5,0.0004549480408,87,3,max,1,ChlorineConcentration,0.3749999999999999,0.351185947060585,0.5178734600543975,0.3900312691926956,0.4299158000946045,0.4914698070287705,0.4237094032764434,0.4898436319828033,0.4817416429519653,0.478710607290268,0.4964060628414154,0.5007168650627136,0.4927110874652863,0.4959730565547943,0.5038633692264557,0.5050372838973999,0.5065095031261444,0.5154967534542083,0.5022949242591859,0.5153524160385132
tanh,0.0046595313917,5,0.0001052183697,88,4,max,2,ChlorineConcentration,0.3662499999999999,0.4967716968059539,0.4541736823320389,0.4527784466743469,0.5085109412670136,0.5249458754062652,0.5261198019981383,0.5279095494747162,0.5360019278526306,0.5314505648612975,0.534770268201828,0.5336540794372558,0.5389271128177643,0.5370892405509948,0.5312581229209901,0.531566035747528,0.5352128863334655,0.5392542672157288,0.5388693833351136,0.5427279257774353
sigmoid,0.0869778333402,7,4.61452655e-05,34,3,average,1,ChlorineConcentration,0.37875,0.3535722762346268,0.353697367310524,0.3544286632537842,0.347240788936615,0.351897993683815,0.3851719915866852,0.4395284956693649,0.48311763048172,0.5169785976409912,0.5368775582313537,0.5354823172092438,0.5372720742225646,0.5378975260257721,0.5381477081775665,0.5364156842231751,0.5362328624725341,0.5381861937046051,0.5409574246406554,0.5425643491744995
gelu,0.2941836664469,7,7.5979105e-05,87,4,max,2,ChlorineConcentration,0.2906249999999999,0.2773153680562973,0.2851286935806275,0.3176040387153626,0.3517151743173599,0.4007890266180038,0.4383834445476531,0.4514024502038955,0.4625450986623763,0.4714361280202865,0.4797498136758804,0.4875631427764893,0.4946932876110076,0.5000817930698396,0.5047582411766053,0.50726966381073,0.508953572511673,0.5067404329776763,0.5074236226081847,0.5095790231227875
tanh,0.2881476345836,8,0.000987375268,65,1,max,1,ChlorineConcentration,0.324375,0.3710849159955978,0.4358335345983505,0.3978734654188156,0.4379793119430541,0.4327351438999177,0.4263170552253723,0.476843878030777,0.4575030076503753,0.4766129457950591,0.4672985291481019,0.4655953788757324,0.4950781834125519,0.4831561231613159,0.5130719244480132,0.4790955030918121,0.528255957365036,0.5050661516189575,0.5090209269523621,0.5078951132297516
tanh,0.0968423076517,5,2.38317101e-05,27,3,max,2,ChlorineConcentration,0.368125,0.3498676925897598,0.3603464043140411,0.3807745951414109,0.4011739242076874,0.4215155154466629,0.4474861633777617,0.4774885749816894,0.5009862852096558,0.5176521539688109,0.5260428178310395,0.5306711518764495,0.5331055998802186,0.5342410326004028,0.5350589287281036,0.5360307824611664,0.5365503942966461,0.5371469736099244,0.5373971557617188,0.537782051563263
relu,0.0825532364946,9,7.95718188e-05,46,3,average,1,ChlorineConcentration,0.369375,0.4903728532791137,0.4840606117248535,0.4463507318496704,0.4766803026199341,0.516391624212265,0.5286119759082795,0.5214914643764497,0.5232619631290436,0.5291796970367432,0.5333750331401824,0.5354342067241669,0.5318931901454925,0.525282657146454,0.529218190908432,0.537175852060318,0.5350685596466065,0.5363579571247101,0.533692569732666,0.5328073120117188
